Castle Level	0	Stone	Wood	Metal	Gold	
500	»501	420	5	0	1.1	M
501	»502	420	5	0	1.1	M
502	»503	420	5	0	1.1	M
503	»504	420	5	0	1.1	M
504	»505	420	5	0	1.1	M
505	»506	420	5	0	1.1	M
506	»507	420	5	0	1.1	M
507	»508	425	10	0	1.1	M
508	»509	425	10	0	1.1	M
509	»510	425	10	0	1.1	M
510	»511	425	10	0	1.1	M
511	»512	425	10	0	1.1	M
512	»513	425	10	0	1.1	M
513	»514	425	10	0	1.1	M
514	»515	425	10	0	1.1	M
515	»516	430	10	0	1.1	M
516	»517	430	10	0	1.1	M
517	»518	430	10	0	1.1	M
518	»519	430	10	0	1.1	M
519	»520	430	15	0	1.1	M
520	»521	430	15	0	1.1	M
521	»522	430	15	0	1.1	M
522	»523	435	15	0	1.1	M
523	»524	435	15	0	1.1	M
524	»525	435	15	0	1.1	M
525	»526	435	15	0	1.1	M
526	»527	435	15	0	1.1	M
527	»528	435	15	0	1.1	M
528	»529	435	15	0	1.1	M
529	»530	435	15	0	1.1	M
530	»531	440	20	0	1.1	M
531	»532	440	20	0	1.1	M
532	»533	440	20	0	1.1	M
533	»534	440	20	0	1.1	M
534	»535	440	20	0	1.1	M
535	»536	440	20	0	1.1	M
536	»537	440	20	0	1.1	M
537	»538	445	20	0	1.2	M
538	»539	445	20	0	1.2	M
539	»540	445	20	0	1.2	M
540	»541	445	20	0	1.2	M
541	»542	445	20	0	1.2	M
542	»543	445	20	0	1.2	M
543	»544	445	20	0	1.2	M
544	»545	445	25	0	1.2	M
545	»546	450	25	0	1.2	M
546	»547	450	25	0	1.2	M
547	»548	450	25	0	1.2	M
548	»549	450	25	0	1.2	M
549	»550	450	25	0	1.2	M
550	»551	450	25	0	1.2	M
551	»552	450	25	0	1.2	M
552	»553	450	25	0	1.2	M
553	»554	455	25	0	1.2	M
554	»555	455	25	0	1.2	M
555	»556	455	25	0	1.2	M
556	»557	455	25	0	1.2	M
557	»558	455	25	0	1.2	M
558	»559	455	30	0	1.2	M
559	»560	455	30	0	1.2	M
560	»561	455	30	0	1.2	M
561	»562	460	30	0	1.2	M
562	»563	460	30	0	1.2	M
563	»564	460	30	0	1.2	M
564	»565	460	30	0	1.2	M
565	»566	460	30	0	1.2	M
566	»567	460	30	0	1.2	M
567	»568	460	30	0	1.2	M
568	»569	465	30	0	1.2	M
569	»570	465	30	0	1.2	M
570	»571	465	30	0	1.2	M
571	»572	465	30	0	1.2	M
572	»573	465	30	0	1.2	M
573	»574	465	35	0	1.2	M
574	»575	465	35	0	1.2	M
575	»576	465	35	0	1.2	M
576	»577	470	35	0	1.2	M
577	»578	470	35	0	1.2	M
578	»579	470	35	0	1.2	M
579	»580	470	35	0	1.2	M
580	»581	470	35	0	1.2	M
581	»582	470	35	0	1.2	M
582	»583	470	35	0	1.2	M
583	»584	470	35	0	1.2	M
584	»585	475	35	0	1.2	M
585	»586	480	35	0	1.2	M
586	»587	480	35	0	1.2	M
587	»588	480	35	0	1.2	M
588	»589	480	40	0	1.2	M
589	»590	480	40	0	1.2	M
590	»591	480	40	0	1.2	M
591	»592	480	40	0	1.2	M
592	»593	480	40	0	1.2	M
593	»594	480	40	0	1.2	M
594	»595	480	40	0	1.2	M
595	»596	480	40	0	1.2	M
596	»597	480	40	0	1.2	M
597	»598	480	40	0	1.2	M
598	»599	480	40	0	1.2	M
599	»600	485	40	0	1.3	M
600	»601	485	40	0	1.3	M
601	»602	485	40	0	1.3	M
602	»603	485	40	0	1.3	M
603	»604	485	40	0	1.3	M
604	»605	485	40	0	1.3	M
605	»606	485	45	0	1.3	M
606	»607	485	45	0	1.3	M
607	»608	490	45	0	1.3	M
608	»609	490	45	0	1.3	M
609	»610	490	45	0	1.3	M
610	»611	490	45	0	1.3	M
611	»612	490	45	0	1.3	M
612	»613	490	45	0	1.3	M
613	»614	490	45	0	1.3	M
614	»615	490	45	0	1.3	M
615	»616	495	45	0	1.3	M
616	»617	495	45	0	1.3	M
617	»618	495	45	0	1.3	M
618	»619	495	45	0	1.3	M
619	»620	495	45	0	1.3	M
620	»621	495	45	0	1.3	M
621	»622	495	50	0	1.3	M
622	»623	495	50	0	1.3	M
623	»624	500	50	0	1.3	M
624	»625	500	50	0	1.3	M
625	»626	500	50	0	1.3	M
626	»627	500	50	0	1.3	M
627	»628	500	50	0	1.3	M
628	»629	500	50	0	1.3	M
629	»630	500	50	0	1.3	M
630	»631	500	50	0	1.3	M
631	»632	505	50	0	1.3	M
632	»633	505	50	0	1.3	M
633	»634	505	50	0	1.3	M
634	»635	505	50	0	1.3	M
635	»636	505	50	0	1.3	M
636	»637	505	50	0	1.3	M
637	»638	505	50	0	1.3	M
638	»639	505	55	0	1.3	M
639	»640	510	55	0	1.3	M
640	»641	510	55	0	1.3	M
641	»642	510	55	0	1.3	M
642	»643	510	55	0	1.3	M
643	»644	510	55	0	1.3	M
644	»645	510	55	0	1.3	M
645	»646	510	55	0	1.3	M
646	»647	510	55	0	1.3	M
647	»648	515	55	0	1.3	M
648	»649	515	55	0	1.3	M
649	»650	515	55	0	1.3	M
650	»651	515	55	0	1.3	M
651	»652	515	55	0	1.3	M
652	»653	515	55	0	1.3	M
653	»654	515	55	0	1.3	M
654	»655	520	55	0	1.3	M
655	»656	520	55	0	1.3	M
656	»657	520	60	0	1.3	M
657	»658	520	60	0	1.3	M
658	»659	520	60	0	1.3	M
659	»660	520	60	0	1.3	M
660	»661	520	60	0	1.3	M
661	»662	520	60	0	1.4	M
662	»663	525	60	0	1.4	M
663	»664	525	60	0	1.4	M
664	»665	525	60	0	1.4	M
665	»666	525	60	0	1.4	M
666	»667	525	60	0	1.4	M
667	»668	525	60	0	1.4	M
668	»669	525	60	0	1.4	M
669	»670	525	60	0	1.4	M
670	»671	530	60	0	1.4	M
