level	blacksmith base power	verified
1	2500	TRUE
2	5000	TRUE
3	7500	TRUE
4	10000	TRUE
5	15000	TRUE
6	20000	TRUE
7	25000	TRUE
8	30000	TRUE
9	37500	TRUE
10	45000	TRUE
11	52500	TRUE
12	60000	TRUE
13	67500	TRUE
14	77500	TRUE
15	87500	TRUE
16	97500	TRUE
17	107500	TRUE
18	117500	TRUE
19	130000	TRUE
20	142500	TRUE
21	155000	TRUE
22	167500	TRUE
23	180000	TRUE
24	192500	TRUE
25	207500	TRUE
26	222500	TRUE
27	237500	TRUE
28	252500	TRUE
29	267500	TRUE
30	285000	TRUE
31	302500	TRUE
32	320000	TRUE
33	337500	TRUE
34	355000	TRUE
35	372500	TRUE
36	392500	TRUE
37	412500	TRUE
38	432500	TRUE
39	452500	TRUE
40	472500	TRUE
41	495000	TRUE
42	517500	TRUE
43	540000	TRUE
44	562500	TRUE
45	585000	TRUE
46	607500	TRUE
47	632500	TRUE
48	657500	TRUE
49	682500	TRUE
50	707500	TRUE
51	732500	TRUE
52	757500	TRUE
53	785000	TRUE
54	812500	TRUE
55	840000	TRUE
56	867500	TRUE
57	895000	TRUE
58	922500	TRUE
59	952500	TRUE
60	982500	TRUE
61	1012500	TRUE
62	1042500	TRUE
63	1072500	TRUE
64	1102500	TRUE
65	1135000	TRUE
66	1167500	TRUE
67	1200000	TRUE
68	1232500	TRUE
69	1265000	TRUE
70	1297500	TRUE
71	1332500	TRUE
72	1367500	TRUE
73	1402500	TRUE
74	1437500	TRUE
75	1472500	TRUE
76	1507500	TRUE
77	1545000	TRUE
78	1582500	TRUE
79	1620000	TRUE
80	1657500	TRUE
81	1695000	TRUE
82	1732500	TRUE
83	1772500	TRUE
84	1812500	TRUE
85	1852500	TRUE
86	1892500	TRUE
87	1932500	TRUE
88	1972500	TRUE
89	2015000	TRUE
90	2057500	TRUE
91	2100000	TRUE
92	2142500	TRUE
93	2185000	TRUE
94	2227500	TRUE
95	2272500	TRUE
96	2317500	TRUE
97	2362500	TRUE
98	2407500	TRUE
99	2452500	TRUE
100	2497500	TRUE
101	2545000	TRUE
102	2592500	TRUE
103	2640000	TRUE
104	2687500	TRUE
105	2735000	TRUE
106	2782500	TRUE
107	2830000	TRUE
108	2880000	TRUE
109	2930000	TRUE
110	2980000	TRUE
111	3030000	TRUE
112	3080000	TRUE
113	3130000	TRUE
114	3182500	TRUE
115	3235000	TRUE
116	3287500	TRUE
117	3340000	TRUE
118	3392500	TRUE
119	3445000	TRUE
120	3500000	TRUE
121	3555000	TRUE
122	3610000	TRUE
123	3665000	TRUE
124	3720000	TRUE
125	3775000	TRUE
126	3832500	TRUE
127	3890000	TRUE
128	3947500	TRUE
129	4005000	TRUE
130	4062500	TRUE
131	4120000	TRUE
132	4177500	TRUE
133	4237500	TRUE
134	4297500	TRUE
135	4357500	TRUE
136	4417500	TRUE
137	4477500	TRUE
138	4537500	TRUE
139	4600000	TRUE
140	4662500	TRUE
141	4725000	TRUE
142	4787500	TRUE
143	4850000	TRUE
144	4912500	TRUE
145	4975000	TRUE
146	5040000	TRUE
147	5105000	TRUE
148	5170000	TRUE
149	5235000	TRUE
150	5300000	TRUE
151	5365000	TRUE
152	5432500	TRUE
153	5500000	TRUE
