Season	Peter	Anton	Etley	Ophelia	Merlin	Arwyn	Alucard	Arthur	Catherine	Hadi	Gro	Kris	Samar	Paula	Erika
Pre-Season	7.95%	7.95%	4.03%	9.03%	15.05%	9.03%	15.05%	5.96%	5.96%	5.96%	6.02%	6.02%		1.99%	
Transition															
Season 2	7.50%	7.50%	3.80%	8.52%	14.20%	14.20%	14.20%	5.62%	5.62%	5.62%	5.68%	5.68%		1.87%	
Season 3	7.50%	7.50%	3.80%	8.52%	14.20%	14.20%	14.20%	5.62%	5.62%	5.62%	5.68%	5.68%		1.87%	
Season 4	7.09%	7.09%	3.60%	13.43%	13.43%	13.43%	13.43%	5.32%	5.32%	5.32%	5.37%	5.37%		1.77%	
Season 5	7.09%	7.09%	3.60%	13.43%	13.43%	13.43%	13.43%	5.32%	5.32%	5.32%	5.37%	5.37%		1.77%	
Season 6	6.97%	6.97%	3.54%	13.19%	13.19%	13.19%	13.19%	5.22%	5.22%	5.22%	5.28%	5.28%		1.74%	1.79%
Season 7	6.97%	6.97%	3.54%	13.19%	13.19%	13.19%	13.19%	5.22%	5.22%	5.22%	5.28%	5.28%		1.74%	1.79%
Season 8	6.62%	6.62%	3.36%	12.53%	12.53%	12.53%	12.53%	4.96%	4.96%	4.96%	5.01%	5.01%	5.01%	1.65%	1.70%
Season 9															
Season 10															
Season 11															
Season 12	6.62%	6.62%	3.36%	12.53%	12.53%	12.53%	12.53%	4.96%	4.96%	4.96%	5.01%	5.01%	5.01%	1.65%	1.70%
Season 34	6.40%	6.40%	6.50%	12.12%	12.12%	12.12%	12.12%	4.80%	4.80%	4.80%	4.85%	4.85%	4.85%	1.60%	1.65%
Season 35	6.40%	6.40%	6.50%	12.12%	12.12%	12.12%	12.12%	4.80%	4.80%	4.80%	4.85%	4.85%	4.85%	1.60%	1.65%
