Level	Power	Power (Calculated)	Upgrade	Forge Hammer
1	2,500	2,500	1 » 2	5
2	5,000	5,000	2 » 3	5
3	7,500	7,500	3 » 4	5
4	10,000	10,000	4 » 5	10
5	15,000	15,000	5 » 6	10
6	20,000	20,000	6 » 7	10
7	25,000	25,000	7 » 8	10
8	30,000	30,000	8 » 9	15
9	37,500	37,500	9 » 10	15
10	45,000	45,000	10 » 11	15
11	52,500	52,500	11 » 12	15
12	60,000	60,000	12 » 13	15
13	67,500	67,500	13 » 14	20
14	77,500	77,500	14 » 15	20
15	87,500	87,500	15 » 16	20
16	97,500	97,500	16 » 17	20
17	107,500	107,500	17 » 18	20
18	117,500	117,500	18 » 19	25
19	130,000	130,000	19 » 20	25
20	142,500	142,500	20 » 21	25
21	155,000	155,000	21 » 22	25
22	167,500	167,500	22 » 23	25
23	180,000	180,000	23 » 24	25
24	192,500	192,500	24 » 25	30
25	207,500	207,500	25 » 26	30
26	222,500	222,500	26 » 27	30
27	237,500	237,500	27 » 28	30
28	252,500	252,500	28 » 29	30
29	267,500	267,500	29 » 30	35
30	285,000	285,000	30 » 31	35
31	302,500	302,500	31 » 32	35
32	320,000	320,000	32 » 33	35
33	337,500	337,500	33 » 34	35
34	355,000	355,000	34 » 35	35
35	372,500	372,500	35 » 36	40
36	392,500	392,500	36 » 37	40
37	412,500	412,500	37 » 38	40
38	432,500	432,500	38 » 39	40
39	452,500	452,500	39 » 40	40
40	472,500	472,500	40 » 41	45
41	495,000	495,000	41 » 42	45
42	517,500	517,500	42 » 43	45
43	540,000	540,000	43 » 44	45
44	562,500	562,500	44 » 45	45
45	585,000	585,000	45 » 46	45
46	607,500	607,500	46 » 47	50
47	632,500	632,500	47 » 48	50
48	657,500	657,500	48 » 49	50
49	682,500	682,500	49 » 50	50
50	707,500	707,500	50 » 51	50
51	732,500	732,500	51 » 52	50
52	757,500	757,500	52 » 53	55
53	785,000	785,000	53 » 54	55
54	812,500	812,500	54 » 55	55
55	840,000	840,000	55 » 56	55
56	867,500	867,500	56 » 57	55
57	895,000	895,000	57 » 58	55
58	922,500	922,500	58 » 59	60
59	952,500	952,500	59 » 60	60
60	982,500	982,500	60 » 61	60
61	1,012,500	1,012,500	61 » 62	60
62	1,042,500	1,042,500	62 » 63	60
63	1,072,500	1,072,500	63 » 64	60
64	1,102,500	1,102,500	64 » 65	65
65	1,135,000	1,135,000	65 » 66	65
66	1,167,500	1,167,500	66 » 67	65
67	1,200,000	1,200,000	67 » 68	65
68	1,232,500	1,232,500	68 » 69	65
69	1,265,000	1,265,000	69 » 70	65
70	1,297,500	1,297,500	70 » 71	70
71	1,332,500	1,332,500	71 » 72	70
72	1,367,500	1,367,500	72 » 73	70
73	1,402,500	1,402,500	73 » 74	70
74	1,437,500	1,437,500	74 » 75	70
75	1,472,500	1,472,500	75 » 76	70
76	1,507,500	1,507,500	76 » 77	75
77	1,545,000	1,545,000	77 » 78	75
78	1,582,500	1,582,500	78 » 79	75
79	1,620,000	1,620,000	79 » 80	75
80	1,657,500	1,657,500	80 » 81	75
81	1,695,000	1,695,000	81 » 82	75
82	1,732,500	1,732,500	82 » 83	80
83	1,772,500	1,772,500	83 » 84	80
84	1,812,500	1,812,500	84 » 85	80
85	1,852,500	1,852,500	85 » 86	80
86	1,892,500	1,892,500	86 » 87	80
87	1,932,500	1,932,500	87 » 88	80
88	1,972,500	1,972,500	88 » 89	85
89	2,015,000	2,015,000	89 » 90	85
90	2,057,500	2,057,500	90 » 91	85
91	2,100,000	2,100,000	91 » 92	85
92	2,142,500	2,142,500	92 » 93	85
93	2,185,000	2,185,000	93 » 94	85
94	2,227,500	2,227,500	94 » 95	90
95	2,272,500	2,272,500	95 » 96	90
96	2,317,500	2,317,500	96 » 97	90
97	2,362,500	2,362,500	97 » 98	90
98	2,407,500	2,407,500	98 » 99	90
