Castle Level		Stone	Wood	Metal	Gold	
1	»2	0	0	0	20	
2	»3	0	0	0	40	
3	»4	0	0	0	60	
4	»5	0	0	0	100	
5	»6	2	0	0	200	
6	»7	4	0	0	500	
7	»8	6	0	0	1.0	k
8	»9	8	0	0	2.0	k
9	»10	10	0	0	5.0	k
10	»11	12	0	0	10.0	k
11	»12	14	0	0	20.0	k
12	»13	16	0	0	41.8	k
13	»14	18	0	0	45.5	k
14	»15	20	0	0	49.1	k
15	»16	22	0	0	52.6	k
16	»17	24	0	0	56.1	k
17	»18	26	0	0	59.5	k
18	»19	28	0	0	62.9	k
19	»20	30	0	0	66.2	k
20	»21	32	0	0	69.5	k
21	»22	35	0	0	72.7	k
22	»23	35	0	0	76.0	k
23	»24	40	0	0	79.1	k
24	»25	40	0	0	82.3	k
25	»26	40	0	0	85.4	k
26	»27	40	0	0	88.5	k
27	»28	45	0	0	91.6	k
28	»29	45	0	0	94.6	k
29	»30	45	0	0	97.6	k
30	»31	45	0	0	100.6	k
31	»32	45	0	0	103.6	k
32	»33	50	0	0	106.5	k
33	»34	50	0	0	109.4	k
34	»35	50	0	0	112.4	k
35	»36	50	0	0	115.2	k
36	»37	55	0	0	118.1	k
37	»38	55	0	0	121.0	k
38	»39	55	0	0	123.8	k
39	»40	55	0	0	126.6	k
40	»41	60	0	0	129.4	k
41	»42	60	0	0	132.2	k
42	»43	60	0	0	135.0	k
43	»44	60	0	0	137.8	k
44	»45	60	0	0	140.5	k
45	»46	65	0	0	143.2	k
46	»47	65	0	0	146.0	k
47	»48	65	0	0	148.7	k
48	»49	65	0	0	151.4	k
49	»50	65	0	0	154.0	k
50	»51	70	0	0	156.7	k
51	»52	70	0	0	159.4	k
52	»53	70	0	0	162.0	k
53	»54	70	0	0	164.7	k
54	»55	75	0	0	167.3	k
55	»56	75	0	0	169.9	k
56	»57	75	0	0	172.5	k
57	»58	75	0	0	175.1	k
58	»59	75	0	0	177.7	k
59	»60	80	0	0	180.3	k
60	»61	80	0	0	182.9	k
61	»62	80	0	0	185.4	k
62	»63	80	0	0	188.0	k
63	»64	80	0	0	190.5	k
64	»65	85	0	0	193.0	k
65	»66	85	0	0	195.6	k
66	»67	85	0	0	198.1	k
67	»68	85	0	0	200.6	k
68	»69	85	0	0	203.1	k
69	»70	90	0	0	205.6	k
70	»71	90	0	0	208.1	k
71	»72	90	0	0	210.6	k
72	»73	90	0	0	213.0	k
73	»74	90	0	0	215.5	k
74	»75	95	0	0	218.0	k
75	»76	95	0	0	220.4	k
76	»77	95	0	0	222.9	k
77	»78	95	0	0	225.3	k
78	»79	95	0	0	227.7	k
79	»80	95	0	0	230.2	k
80	»81	100	0	0	232.6	k
81	»82	100	0	0	235.0	k
82	»83	100	0	0	237.4	k
83	»84	100	0	0	239.8	k
84	»85	100	0	0	242.2	k
85	»86	105	0	0	244.6	k
86	»87	105	0	0	247.0	k
87	»88	105	0	0	249.3	k
88	»89	105	0	0	251.7	k
89	»90	105	0	0	254.1	k
90	»91	110	0	0	256.4	k
91	»92	110	0	0	258.8	k
92	»93	110	0	0	261.1	k
93	»94	110	0	0	263.5	k
94	»95	110	0	0	265.8	k
95	»96	115	0	0	268.2	k
96	»97	115	0	0	270.5	k
97	»98	115	0	0	272.8	k
98	»99	115	0	0	275.1	k
99	»100	115	0	0	277.5	k
100	»101	115	0	0	279.8	k
101	»102	120	0	0	282.1	k
102	»103	120	0	0	284.4	k
103	»104	120	0	0	286.7	k
104	»105	120	0	0	289.0	k
105	»106	120	0	0	291.2	k
106	»107	125	0	0	293.5	k
107	»108	125	0	0	295.8	k
108	»109	125	0	0	298.1	k
109	»110	125	0	0	300.3	k
110	»111	125	0	0	302.6	k
111	»112	125	0	0	304.9	k
112	»113	130	0	0	307.1	k
113	»114	130	0	0	309.4	k
114	»115	130	0	0	311.6	k
115	»116	130	0	0	313.9	k
116	»117	130	0	0	316.1	k
117	»118	130	0	0	318.3	k
118	»119	135	0	0	320.6	k
119	»120	135	0	0	322.8	k
120	»121	135	0	0	325.0	k
121	»122	135	0	0	327.2	k
122	»123	135	0	0	329.5	k
123	»124	140	0	0	331.7	k
124	»125	140	0	0	333.9	k
125	»126	140	0	0	336.1	k
126	»127	140	0	0	338.3	k
127	»128	140	0	0	340.5	k
128	»129	140	0	0	342.7	k
129	»130	145	0	0	344.9	k
130	»131	145	0	0	347.1	k
131	»132	145	0	0	349.2	k
132	»133	145	0	0	351.4	k
133	»134	145	0	0	353.6	k
134	»135	145	0	0	355.8	k
135	»136	150	0	0	357.9	k
136	»137	150	0	0	360.1	k
137	»138	150	0	0	362.3	k
138	»139	150	0	0	364.4	k
139	»140	150	0	0	366.6	k
140	»141	155	0	0	368.7	k
141	»142	155	0	0	370.9	k
142	»143	155	0	0	373.0	k
143	»144	155	0	0	375.2	k
144	»145	155	0	0	377.3	k
145	»146	155	0	0	379.5	k
146	»147	160	0	0	381.6	k
147	»148	160	0	0	383.7	k
148	»149	160	0	0	385.9	k
149	»150	160	0	0	388.0	k
150	»151	160	0	0	390.1	k
151	»152	160	0	0	392.2	k
152	»153	165	0	0	394.2	k
153	»154	165	0	0	396.5	k
154	»155	165	0	0	398.6	k
155	»156	165	0	0	400.7	k
156	»157	165	0	0	402.8	k
157	»158	165	0	0	404.9	k
158	»159	170	0	0	407.0	k
159	»160	170	0	0	409.1	k
160	»161	170	0	0	411.2	k
161	»162	170	0	0	413.3	k
162	»163	170	0	0	415.4	k
163	»164	170	0	0	417.5	k
164	»165	175	0	0	419.6	k
165	»166	175	0	0	421.7	k
166	»167	175	0	0	423.7	k
167	»168	175	0	0	425.8	k
168	»169	175	0	0	427.9	k
169	»170	175	0	0	430.0	k
170	»171	180	0	0	432.7	k
171	»172	180	0	0	434.1	k
172	»173	180	0	0	436.2	k
173	»174	180	0	0	438.2	k
174	»175	180	0	0	440.3	k
175	»176	180	0	0	442.3	k
176	»177	185	0	0	444.4	k
177	»178	185	0	0	446.5	k
178	»179	185	0	0	448.5	k
179	»180	185	0	0	450.6	k
180	»181	185	0	0	452.6	k
181	»182	185	0	0	454.6	k
182	»183	190	0	0	456.7	k
183	»184	190	0	0	458.7	k
184	»185	190	0	0	460.8	k
185	»186	190	0	0	462.8	k
186	»187	190	0	0	464.8	k
187	»188	190	0	0	466.9	k
188	»189	190	0	0	468.9	k
189	»190	195	0	0	470.9	k
190	»191	195	0	0	472.9	k
191	»192	195	0	0	475.0	k
192	»193	195	0	0	477.0	k
193	»194	195	0	0	479.0	k
194	»195	195	0	0	481.0	k
195	»196	200	0	0	483.0	k
196	»197	200	0	0	485.0	k
197	»198	200	0	0	487.1	k
198	»199	200	0	0	489.1	k
199	»200	200	0	0	491.1	k
200	»201	200	0	0	499.1	k
201	»202	205	0	0	501.1	k
202	»203	205	0	0	503.1	k
203	»204	205	0	0	505.0	k
204	»205	205	0	0	507.0	k
205	»206	205	0	0	509.0	k
206	»207	205	0	0	511.0	k
207	»208	210	0	0	513.0	k
208	»209	210	0	0	515.0	k
209	»210	210	0	0	517.0	k
210	»211	210	0	0	518.9	k
211	»212	210	0	0	520.9	k
212	»213	210	0	0	522.9	k
213	»214	210	0	0	524.9	k
214	»215	215	0	0	526.8	k
215	»216	215	0	0	528.8	k
216	»217	215	0	0	530.8	k
217	»218	215	0	0	534.7	k
218	»219	215	0	0	536.6	k
219	»220	220	0	0	538.6	k
220	»221	220	0	0	540.6	k
221	»222	220	0	0	542.5	k
222	»223	220	0	0	544.2	k
223	»224	220	0	0	544.5	k
224	»225	220	0	0	546.4	k
225	»226	220	0	0	548.4	k
226	»227	225	0	0	550.3	k
227	»228	225	0	0	552.3	k
228	»229	225	0	0	554.2	k
229	»230	225	0	0	556.2	k
230	»231	225	0	0	558.1	k
231	»232	225	0	0	560.0	k
232	»233	225	0	0	562.0	k
233	»234	230	0	0	563.9	k
234	»235	230	0	0	565.9	k
235	»236	230	0	0	567.8	k
236	»237	230	0	0	569.7	k
237	»238	230	0	0	571.6	k
238	»239	230	0	0	573.6	k
239	»240	235	0	0	575.5	k
240	»241	235	0	0	577.4	k
241	»242	235	0	0	579.4	k
242	»243	235	0	0	581.3	k
243	»244	235	0	0	583.2	k
244	»245	235	0	0	585.1	k
245	»246	235	0	0	587.0	k
246	»247	240	0	0	588.9	k
247	»248	240	0	0	590.9	k
248	»249	240	0	0	592.8	k
249	»250	240	0	0	594.7	k
250	»251	240	0	0	596.6	k
251	»252	240	0	0	598.5	k
252	»253	245	0	0	600.4	k
253	»254	245	0	0	602.3	k
254	»255	245	0	0	604.2	k
255	»256	245	0	0	606.1	k
256	»257	245	0	0	608.0	k
257	»258	245	0	0	609.9	k
258	»259	245	0	0	611.8	k
259	»260	250	0	0	613.7	k
260	»261	250	0	0	615.6	k
261	»262	250	0	0	617.5	k
262	»263	250	0	0	619.4	k
263	»264	250	0	0	621.3	k
264	»265	250	0	0	623.3	k
265	»266	255	0	0	625.1	k
266	»267	255	0	0	626.9	k
267	»268	255	0	0	628.8	k
268	»269	255	0	0	630.7	k
269	»270	255	0	0	632.6	k
270	»271	255	0	0	634.5	k
271	»272	255	0	0	636.4	k
272	»273	260	0	0	638.2	k
273	»274	260	0	0	640.1	k
274	»275	260	0	0	642.0	k
275	»276	260	0	0	643.9	k
276	»277	260	0	0	645.7	k
