Level	Light Power	Light Power (calculated)	Upgrade	Regent	Regent (Est.)
0	0		0 » 1	5	
1	7,000	7,000	1 » 2	5	
2	14,000	14,000	2 » 3	5	
3	21,000	21,000	3 » 4	10	
4	35,000	35,000	4 » 5	10	
5	49,000	49,000	5 » 6	10	
6	63,000	63,000	6 » 7	10	
7	77,000	77,000	7 » 8	15	
8	98,000	98,000	8 » 9	15	
9	119,000	119,000	9 » 10	15	
10	140,000	140,000	10 » 11	15	
11	161,000	161,000	11 » 12	15	
12	182,000	182,000	12 » 13	20	
13	210,000	210,000	13 » 14	20	
14	238,000	238,000	14 » 15	20	
15	266,000	266,000	15 » 16	20	
16	294,000	294,000	16 » 17	20	
17	322,000	322,000	17 » 18	25	
18	357,000	357,000	18 » 19	25	
19	392,000	392,000	19 » 20	25	
20	427,000	427,000	20 » 21	25	
21	462,000	462,000	21 » 22	25	
22	497,000	497,000	22 » 23	30	
23	539,000	539,000	23 » 24	30	
24	581,000	581,000	24 » 25	30	
25	623,000	623,000	25 » 26	30	
26	665,000	665,000	26 » 27	30	
27	707,000	707,000	27 » 28	30	
28	749,000	749,000	28 » 29	35	
29	798,000	798,000	29 » 30	35	
30	847,000	847,000	30 » 31	35	
31	896,000	896,000	31 » 32	35	
32	945,000	945,000	32 » 33	35	
33	994,000	994,000	33 » 34	35	
34	1,043,000	1,043,000	34 » 35	40	
35	1,099,000	1,099,000	35 » 36	40	
36	1,155,000	1,155,000	36 » 37	40	
37	1,211,000	1,211,000	37 » 38	40	
38	1,267,000	1,267,000	38 » 39	40	
39	1,323,000	1,323,000	39 » 40	40	
40	1,379,000	1,379,000	40 » 41	40	
41	1,435,000	1,435,000	41 » 42	45	
42	1,498,000	1,498,000	42 » 43	45	
43	1,561,000	1,561,000	43 » 44	45	
44	1,624,000	1,624,000	44 » 45	45	
45	1,687,000	1,687,000	45 » 46	45	
46	1,750,000	1,750,000	46 » 47	45	
47	1,813,000	1,813,000	47 » 48	50	
48	1,883,000	1,883,000	48 » 49	50	
49	1,953,000	1,953,000	49 » 50	50	
50	2,023,000	2,023,000	50 » 51	50	
51	2,093,000	2,093,000	51 » 52	50	
52	2,163,000	2,163,000	52 » 53	50	
53	2,233,000	2,233,000	53 » 54	50	
54	2,303,000	2,303,000	54 » 55	55	
55	2,380,000	2,380,000	55 » 56	55	
56	2,457,000	2,457,000	56 » 57	55	
57	2,534,000	2,534,000	57 » 58	55	
58	2,611,000	2,611,000	58 » 59	55	
59	2,688,000	2,688,000	59 » 60	55	
60	2,765,000	2,765,000	60 » 61	55	
61	2,842,000	2,842,000	61 » 62	60	
62	2,926,000	2,926,000	62 » 63	60	
63	3,010,000	3,010,000	63 » 64	60	
64	3,094,000	3,094,000	64 » 65	60	
65	3,178,000	3,178,000	65 » 66	60	
66	3,262,000	3,262,000	66 » 67	60	
67	3,346,000	3,346,000	67 » 68	60	
68	3,430,000	3,430,000	68 » 69	65	
69	3,521,000	3,521,000	69 » 70	65	
70	3,612,000	3,612,000	70 » 71	65	
71	3,703,000	3,703,000	71 » 72	65	
72	3,794,000	3,794,000	72 » 73	65	
73	3,885,000	3,885,000	73 » 74	65	
74	3,976,000	3,976,000	74 » 75	65	
75	4,067,000	4,067,000	75 » 76	70	
76	4,165,000	4,165,000	76 » 77	70	
77	4,263,000	4,263,000	77 » 78	70	
78	4,361,000	4,361,000	78 » 79	70	
79	4,459,000	4,459,000	79 » 80	70	
80	4,557,000	4,557,000	80 » 81	70	
81	4,655,000	4,655,000	81 » 82	70	
82	4,753,000	4,753,000	82 » 83	75	
83	4,858,000	4,858,000	83 » 84	75	
