Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	86.0%	1 » 2	32,894,740	
2	93.8%	2 » 3	32,894,740	
3	101.7%	3 » 4	32,894,740	
4	109.5%	4 » 5	32,894,740	
5	117.3%	5 » 6	32,894,740	
6	125.1%	6 » 7	32,894,740	
7	132.9%	7 » 8	32,894,740	
8	140.7%	8 » 9	32,894,740	
9	148.6%	9 » 10	32,894,740	
10	156.4%	10 » 11	32,894,740	6,250,000
11	164.2%	11 » 12	32,894,740	6,250,000
12	172.0%	12 » 13	32,894,740	6,250,000
13	179.8%	13 » 14	32,894,740	6,250,000
14	187.6%	14 » 15	32,894,740	6,250,000
15	195.5%	15 » 16	32,894,740	6,250,000
16	203.3%	16 » 17	32,894,740	6,250,000
17	211.1%	17 » 18	32,894,740	6,250,000
18	218.9%	18 » 19	32,894,740	6,250,000
19	226.7%	19 » 20	32,894,740	6,250,000
20	234.5%			
