Hero	Advanced Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel	FALSE	TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	TRUE	TRUE	TRUE	TRUE	
Jennifer	FALSE	TRUE	TRUE	TRUE	Element Lord
Erika	TRUE	TRUE	TRUE	TRUE	
Allen	FALSE	TRUE	TRUE	TRUE	
Gro	TRUE	TRUE	TRUE	TRUE	Element Lord
Rosamond	FALSE	TRUE	TRUE	TRUE	Element Lord
Catherine	TRUE	TRUE	TRUE	TRUE	
Paula	TRUE	TRUE	TRUE	TRUE	
Hadi	TRUE	TRUE	TRUE	TRUE	
Ralph	FALSE	TRUE	TRUE	TRUE	Element Lord
O'Neil	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Cosette	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Dolvar	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Paul	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Issac	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Ariza	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Meniere	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Gruen	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Sahar	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Rudolph	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Jessica	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Wallis	FALSE	TRUE	TRUE	FALSE	
Nicole	FALSE	TRUE	TRUE	FALSE	
Pan	FALSE	TRUE	FALSE	FALSE	
Claudia	FALSE	TRUE	TRUE	FALSE	
Kadir	FALSE	TRUE	TRUE	FALSE	
Christie	FALSE	TRUE	TRUE	FALSE	
Anko	FALSE	TRUE	FALSE	FALSE	
Vera	FALSE	TRUE	TRUE	FALSE	
Richard	FALSE	TRUE	TRUE	FALSE	
Penny	FALSE	TRUE	FALSE	FALSE	
Torvi	FALSE	TRUE	TRUE	FALSE	
Kenshiro	FALSE	TRUE	FALSE	FALSE	
Lilani	FALSE	TRUE	TRUE	FALSE	
Lomax	FALSE	TRUE	TRUE	FALSE	
Livia	FALSE	TRUE	TRUE	FALSE	
Giselle	FALSE	TRUE	FALSE	FALSE	
Pedra	FALSE	TRUE	TRUE	FALSE	
Filius	FALSE	TRUE	TRUE	FALSE	
Arwin	FALSE	TRUE	TRUE	FALSE	
Collin	FALSE	TRUE	FALSE	FALSE	
Apollo	FALSE	TRUE	TRUE	FALSE	
Parr	FALSE	TRUE	TRUE	FALSE	
Benjamin	FALSE	TRUE	TRUE	FALSE	
Sabastian	FALSE	TRUE	FALSE	FALSE	
Dain	FALSE	TRUE	FALSE	FALSE	
Wendy	FALSE	TRUE	TRUE	FALSE	
Fatima	FALSE	TRUE	FALSE	FALSE	
Dean	FALSE	TRUE	TRUE	FALSE	
Maud	FALSE	TRUE	FALSE	FALSE	
Suad	FALSE	TRUE	FALSE	FALSE	
Bella	FALSE	TRUE	FALSE	FALSE	
Brie	FALSE	TRUE	FALSE	FALSE	
Keith	FALSE	TRUE	FALSE	FALSE	
Chiyoko	FALSE	TRUE	FALSE	FALSE	
Meg	FALSE	TRUE	FALSE	FALSE	
Vanessa	FALSE	TRUE	FALSE	FALSE	
Nathaniel	FALSE	TRUE	FALSE	FALSE	
Luvia	FALSE	TRUE	FALSE	FALSE	
Hana	FALSE	TRUE	FALSE	FALSE	
Pythia	FALSE	TRUE	FALSE	FALSE	
Montag	FALSE	TRUE	FALSE	FALSE	
Rogers	FALSE	TRUE	FALSE	FALSE	
Simon	FALSE	TRUE	FALSE	FALSE	
Trist	FALSE	TRUE	FALSE	FALSE	
Blackwell	FALSE	TRUE	FALSE	FALSE	
Ptolemy	FALSE	TRUE	FALSE	FALSE	
Ao Yue	FALSE	TRUE	FALSE	FALSE	
Ao Deng Ge Ri Le	FALSE	TRUE	FALSE	FALSE	
Lilith	FALSE	TRUE	FALSE	FALSE	
Rila	FALSE	TRUE	FALSE	FALSE	
Maya	FALSE	TRUE	FALSE	FALSE	
Johannes	FALSE	TRUE	FALSE	FALSE	
Daria	FALSE	TRUE	FALSE	FALSE	
Lovelace	FALSE	TRUE	FALSE	FALSE	
Judy	FALSE	TRUE	FALSE	FALSE	
Trishy	FALSE	TRUE	FALSE	FALSE	
Boudica	FALSE	TRUE	FALSE	FALSE	
Angelina	FALSE	TRUE	FALSE	FALSE	
Doris	FALSE	TRUE	FALSE	FALSE	
Dylan	FALSE	TRUE	FALSE	FALSE	
Ivy	FALSE	TRUE	FALSE	FALSE	
Sindra	FALSE	TRUE	FALSE	FALSE	
Enzo	FALSE	TRUE	FALSE	FALSE	
Rebecca	FALSE	TRUE	FALSE	FALSE	
Daisy	FALSE	TRUE	FALSE	FALSE	
Mycelia	FALSE	TRUE	FALSE	FALSE	
