1	Advanced Recruitment
200	Stone
10	Normal Recruitment
1	Dragon Crystal
	
20	Gem
3	Advanced Recruitment
10K	Gold
1	Dragon Crystal
	
30	Gem
3	Advanced Recruitment
3	50 AP
1	Dragon Crystal
	
40	Gem
3	Advanced Recruitment
20K	Gold
1	Dragon Crystal
	
50	Gem
3	Advanced Recruitment
50K	Gold
1	Dragon Crystal
	
60	Gem
4	Advanced Recruitment
80K	Gold
1	Dragon Crystal
	
70	Gem
4	Advanced Recruitment
100K	Gold
1	Dragon Crystal
	
80	Gem
4	Advanced Recruitment
1	50 AP
1	Dragon Crystal
	
90	Gem
5	Advanced Recruitment
50	Stone
1	Dragon Crystal
	
100	Gem
30	Stone
200K	Gold
1	Dragon Crystal
	
150	Gem
30	Stone
300K	Gold
1	Dragon Crystal
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
210	Gem
20	T2 Ice Wizard EXP Book
80	Stone
200k	Gold
1	Dragon Crystal
200	Gem
15	Advanced Recruitment
80	Stone
200k	Gold
1	Dragon Crystal
210	Gem
15	T2 Archer EXP Book
80	Stone
300k	Gold
1	Dragon Crystal
220	Gem
20	T2 Flame Mage EXP Book
100	Stone
300k	Gold
1	Dragon Crystal
230	Gem
120	Excellent Dragon Rune
100	Stone
500K	Gold
	
240	Gem
20	T2 Goblin EXP Book
80	Stone
500K	Gold
	
250	Gem
20	Advanced Recruitment
100	Stone
500K	Gold
	
260	Gem
60	Skill Shard
100	Stone
500K	Gold
	
270	Gem
15	Epic Dragon Rune
100	Stone
500K	Gold
	
280	Gem
25	Advanced Recruitment
100	Stone
500K	Gold
	
290	Gem
30	T3 Archer EXP Book
100	Stone
500K	Gold
	
300	Gem
30	T2 Flame Mage EXP Book
100	Stone
500K	Gold
	
310	Gem
30	T2 Ice Wizard EXP Book
100	Stone
500K	Gold
	
320	Gem
30	T2 Goblin EXP Book
100	Stone
500K	Gold
	
330	Gem
60	Skill Shard
100	Stone
500K	Gold
	
340	Gem
10	Epic Dragon Rune
100	Stone
500K	Gold
	
350	Gem
30	Advanced Recruitment
100	Stone
500K	Gold
	
360	Gem
10	T3 Archer EXP Book
100	Stone
500K	Gold
	
370	Gem
10	T3 Flame Mage EXP Book
100	Stone
500K	Gold
	
380	Gem
10	T3 Ice Wizard EXP Book
100	Stone
500K	Gold
	
390	Gem
10	T3 Goblin EXP Book
100	Stone
500K	Gold
	
	
	
	
	
	
410	Gem
10	Epic Dragon Rune
100	Stone
500K	Gold
	
420	Gem
40	Advanced Recruitment
100	Stone
500K	Gold
	
430	Gem
50	Advanced Recruitment
100	Stone
500K	Gold
	
440	Gem
60	Advanced Recruitment
100	Stone
500K	Gold
	
