level	light magic power	verified
0	0	TRUE
1	7000	TRUE
2	14000	TRUE
3	21000	TRUE
4	35000	TRUE
5	49000	TRUE
6	63000	TRUE
7	77000	TRUE
8	98000	TRUE
9	119000	TRUE
10	140000	TRUE
11	161000	TRUE
12	182000	TRUE
13	210000	TRUE
14	238000	TRUE
15	266000	TRUE
16	294000	TRUE
17	322000	TRUE
18	357000	TRUE
19	392000	TRUE
20	427000	TRUE
21	462000	TRUE
22	497000	TRUE
23	539000	TRUE
24	581000	TRUE
25	623000	TRUE
26	665000	TRUE
27	707000	TRUE
28	749000	TRUE
29	798000	TRUE
30	847000	TRUE
31	896000	TRUE
32	945000	TRUE
33	994000	TRUE
34	1043000	TRUE
35	1099000	TRUE
36	1155000	TRUE
37	1211000	TRUE
38	1267000	TRUE
39	1323000	TRUE
40	1379000	TRUE
41	1435000	TRUE
42	1498000	TRUE
43	1561000	TRUE
44	1624000	TRUE
45	1687000	TRUE
46	1750000	TRUE
47	1813000	TRUE
48	1883000	TRUE
49	1953000	TRUE
50	2023000	TRUE
51	2093000	TRUE
52	2163000	TRUE
53	2233000	TRUE
54	2303000	TRUE
55	2380000	TRUE
56	2457000	TRUE
57	2534000	TRUE
58	2611000	TRUE
59	2688000	TRUE
60	2765000	TRUE
61	2842000	TRUE
62	2926000	TRUE
63	3010000	TRUE
64	3094000	TRUE
65	3178000	TRUE
66	3262000	TRUE
67	3346000	TRUE
68	3430000	TRUE
69	3521000	TRUE
70	3612000	TRUE
71	3703000	TRUE
72	3794000	TRUE
73	3885000	TRUE
74	3976000	TRUE
75	4067000	TRUE
76	4165000	TRUE
77	4263000	TRUE
78	4361000	TRUE
79	4459000	TRUE
80	4557000	TRUE
81	4655000	TRUE
82	4753000	TRUE
83	4858000	TRUE
84	4963000	TRUE
85	5068000	TRUE
86	5173000	TRUE
87	5278000	TRUE
88	5383000	TRUE
89	5488000	TRUE
90	5593000	TRUE
91	5705000	TRUE
92	5817000	TRUE
93	5929000	TRUE
94	6041000	TRUE
95	6153000	TRUE
96	6265000	TRUE
97	6377000	TRUE
98	6496000	TRUE
99	6615000	TRUE
100	6734000	TRUE
101	6853000	TRUE
102	6972000	TRUE
103	7091000	TRUE
104	7210000	TRUE
105	7329000	TRUE
106	7455000	TRUE
107	7581000	TRUE
108	7707000	TRUE
109	7833000	TRUE
110	7959000	TRUE
111	8085000	TRUE
112	8211000	TRUE
113	8337000	TRUE
114	8470000	TRUE
115	8603000	TRUE
116	8736000	TRUE
117	8869000	TRUE
118	9002000	TRUE
119	9135000	TRUE
120	9268000	TRUE
121	9401000	TRUE
122	9541000	TRUE
123	9681000	TRUE
124	9821000	TRUE
125	9961000	TRUE
126	10101000	TRUE
127	10241000	TRUE
128	10381000	TRUE
129	10521000	TRUE
130	10668000	TRUE
131	10815000	TRUE
132	10962000	TRUE
133	11109000	TRUE
134	11256000	TRUE
135	11403000	TRUE
136	11550000	TRUE
137	11697000	TRUE
138	11851000	TRUE
139	12005000	TRUE
140	12159000	TRUE
141	12313000	TRUE
142	12467000	TRUE
143	12621000	TRUE
144	12775000	TRUE
145	12929000	TRUE
146	13090000	TRUE
147	13251000	TRUE
148	13412000	TRUE
149	13573000	TRUE
150	13734000	TRUE
151	13895000	TRUE
152	14056000	TRUE
153	14217000	TRUE
154	14385000	TRUE
155	14553000	TRUE
156	14721000	TRUE
157	14889000	TRUE
158	15057000	TRUE
159	15225000	TRUE
160	15393000	TRUE
161	15561000	TRUE
162	15729000	TRUE
163	15904000	TRUE
164	16079000	TRUE
165	16254000	TRUE
166	16429000	TRUE
167	16604000	TRUE
168	16779000	TRUE
169	16954000	TRUE
170	17129000	TRUE
171	17311000	TRUE
172	17493000	TRUE
173	17675000	TRUE
174	17857000	TRUE
175	18039000	TRUE
176	18221000	TRUE
177	18403000	TRUE
178	18585000	TRUE
179	18767000	TRUE
180	18956000	TRUE
181	19145000	TRUE
182	19334000	TRUE
183	19523000	TRUE
184	19712000	TRUE
185	19901000	TRUE
186	20090000	TRUE
187	20279000	TRUE
188	20475000	TRUE
189	20671000	TRUE
190	20867000	TRUE
191	21063000	TRUE
192	21259000	TRUE
193	21455000	TRUE
194	21651000	TRUE
195	21847000	TRUE
196	22043000	TRUE
197	22246000	TRUE
198	22449000	TRUE
199	22652000	TRUE
200	22855000	TRUE
201	23058000	TRUE
202	23261000	TRUE
203	23464000	TRUE
204	23667000	TRUE
205	23870000	TRUE
206	24080000	TRUE
207	24290000	TRUE
208	24500000	TRUE
209	24710000	TRUE
210	24920000	TRUE
211	25130000	TRUE
212	25340000	TRUE
213	25550000	TRUE
214	25760000	TRUE
215	25977000	TRUE
216	26194000	TRUE
217	26411000	TRUE
218	26628000	TRUE
219	26845000	TRUE
220	27062000	TRUE
221	27279000	TRUE
222	27496000	TRUE
223	27713000	TRUE
224	27937000	TRUE
225	28161000	TRUE
226	28385000	TRUE
227	28609000	TRUE
228	28833000	TRUE
229	29057000	TRUE
230	29281000	TRUE
231	29505000	TRUE
232	29729000	TRUE
233	29960000	TRUE
234	30191000	TRUE
235	30422000	TRUE
236	30653000	TRUE
237	30884000	TRUE
238	31115000	TRUE
239	31346000	TRUE
240	31577000	TRUE
241	31808000	TRUE
242	32046000	TRUE
243	32284000	TRUE
244	32522000	TRUE
245	32760000	TRUE
246	32998000	TRUE
247	33236000	TRUE
248	33474000	TRUE
249	33712000	TRUE
250	33950000	TRUE
251	34195000	TRUE
252	34440000	TRUE
253	34685000	TRUE
254	34930000	TRUE
255	35175000	TRUE
256	35420000	TRUE
257	35665000	TRUE
258	35910000	TRUE
259	36155000	TRUE
260	36400000	TRUE
261	36652000	TRUE
262	36904000	TRUE
263	37156000	TRUE
264	37408000	TRUE
265	37660000	TRUE
266	37912000	TRUE
267	38164000	TRUE
268	38416000	TRUE
269	38668000	TRUE
270	38927000	TRUE
271	39186000	TRUE
272	39445000	TRUE
273	39704000	TRUE
274	39963000	TRUE
275	40222000	TRUE
276	40481000	TRUE
277	40740000	TRUE
278	40999000	TRUE
279	41265000	TRUE
280	41531000	TRUE
281	41797000	TRUE
282	42063000	TRUE
283	42329000	TRUE
284	42595000	TRUE
285	42861000	TRUE
286	43127000	TRUE
287	43393000	TRUE
288	43659000	TRUE
289	43932000	TRUE
290	44205000	TRUE
291	44478000	TRUE
292	44751000	TRUE
293	45024000	TRUE
294	45297000	TRUE
295	45570000	TRUE
296	45843000	TRUE
297	46116000	TRUE
298	46396000	TRUE
299	46676000	TRUE
300	46956000	TRUE
301	47236000	TRUE
302	47516000	TRUE
303	47796000	TRUE
304	48076000	TRUE
305	48356000	TRUE
306	48636000	TRUE
307	48916000	TRUE
308	49203000	TRUE
309	49490000	TRUE
310	49777000	TRUE
311	50064000	TRUE
312	50351000	TRUE
313	50638000	TRUE
314	50925000	TRUE
315	51212000	TRUE
316	51499000	TRUE
317	51793000	TRUE
318	52087000	TRUE
319	52381000	TRUE
320	52675000	TRUE
321	52969000	TRUE
322	53263000	TRUE
323	53557000	TRUE
324	53851000	TRUE
325	54145000	TRUE
326	54439000	TRUE
327	54740000	TRUE
328	55041000	TRUE
329	55342000	TRUE
330	55643000	TRUE
331	55944000	TRUE
332	56245000	TRUE
333	56546000	TRUE
334	56847000	TRUE
335	57148000	TRUE
336	57449000	TRUE
337	57757000	TRUE
338	58065000	TRUE
339	58373000	TRUE
340	58681000	TRUE
341	58989000	TRUE
342	59297000	TRUE
343	59605000	TRUE
344	59913000	TRUE
345	60221000	TRUE
346	60529000	TRUE
347	60844000	TRUE
348	61159000	TRUE
349	61474000	TRUE
350	61789000	TRUE
351	62104000	TRUE
352	62419000	TRUE
353	62734000	TRUE
354	63049000	TRUE
355	63364000	TRUE
356	63686000	TRUE
357	64008000	TRUE
358	64330000	TRUE
359	64652000	TRUE
360	64974000	TRUE
361	65296000	TRUE
362	65618000	TRUE
363	65940000	TRUE
364	66262000	TRUE
365	66584000	TRUE
366	66913000	TRUE
367	67242000	TRUE
368	67571000	TRUE
369	67900000	TRUE
370	68229000	TRUE
371	68558000	TRUE
372	68887000	TRUE
373	69216000	TRUE
374	69545000	TRUE
375	69874000	TRUE
376	70210000	TRUE
377	70546000	TRUE
378	70882000	TRUE
379	71218000	TRUE
380	71554000	TRUE
381	71890000	TRUE
382	72226000	TRUE
383	72562000	TRUE
384	72898000	TRUE
385	73234000	TRUE
386	73577000	TRUE
387	73920000	TRUE
388	74263000	TRUE
389	74606000	TRUE
390	74949000	TRUE
391	75292000	TRUE
392	75635000	TRUE
393	75978000	TRUE
394	76321000	TRUE
395	76664000	TRUE
396	77014000	TRUE
397	77364000	TRUE
398	77714000	TRUE
399	78064000	TRUE
400	78414000	TRUE
401	78764000	TRUE
402	79114000	TRUE
403	79464000	TRUE
404	79814000	TRUE
405	80164000	TRUE
406	80514000	TRUE
407	80871000	TRUE
408	81228000	TRUE
409	81585000	TRUE
410	81942000	TRUE
411	82299000	TRUE
412	82656000	TRUE
413	83013000	TRUE
414	83370000	TRUE
415	83727000	TRUE
416	84084000	TRUE
417	84448000	TRUE
418	84812000	TRUE
419	85176000	TRUE
420	85540000	TRUE
421	85904000	TRUE
422	86268000	TRUE
423	86632000	TRUE
424	86996000	TRUE
425	87360000	TRUE
426	87724000	TRUE
427	88095000	TRUE
428	88466000	TRUE
429	88837000	TRUE
430	89208000	TRUE
431	89579000	TRUE
432	89950000	TRUE
433	90321000	TRUE
434	90692000	TRUE
435	91063000	TRUE
436	91434000	TRUE
437	91812000	TRUE
438	92190000	TRUE
439	92568000	TRUE
440	92946000	TRUE
441	93324000	TRUE
442	93702000	TRUE
443	94080000	TRUE
444	94458000	TRUE
445	94836000	TRUE
446	95214000	TRUE
447	95592000	TRUE
448	95977000	TRUE
449	96362000	TRUE
450	96747000	TRUE
451	97132000	TRUE
452	97517000	TRUE
453	97902000	TRUE
454	98287000	TRUE
455	98672000	TRUE
456	99057000	TRUE
457	99442000	TRUE
458	99834000	TRUE
459	100226000	TRUE
460	100618000	TRUE
461	101010000	TRUE
462	101402000	TRUE
463	101794000	TRUE
464	102186000	TRUE
465	102578000	TRUE
466	102970000	TRUE
467	103362000	TRUE
468	103761000	TRUE
469	104160000	TRUE
470	104559000	TRUE
471	104958000	TRUE
472	105357000	TRUE
473	105756000	TRUE
474	106155000	TRUE
475	106554000	TRUE
476	106953000	TRUE
477	107352000	TRUE
478	107751000	TRUE
479	108157000	TRUE
480	108563000	TRUE
481	108969000	TRUE
482	109375000	TRUE
483	109781000	TRUE
484	110187000	TRUE
485	110593000	TRUE
486	110999000	TRUE
487	111405000	TRUE
488	111811000	TRUE
489	112224000	TRUE
