Element	Rarity	Tier	Hero	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5
Archer	SSR	S	Padme	March Speed +30%	Unit Power +20%		Unit Power +20%	Regeneration +15%
Archer	SSR	A	Sahar	March Speed +20%	Unit Power +25%		Recovery +25%	Regeneration +10%
Archer	SSR	A	Layla	March Speed +25%	Recovery +15%		Unit Power +25%	Regeneration +10%
Archer	SSR	B	Johannes	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	B	Maya	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	B	Ptolemy	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	B	Meg	March Speed +20%	Recovery +15%		Unit Power +25%	Regeneration +10%
Archer	SSR	B	Trist	March Speed +20%	Recovery +15%		Unit Power +20%	Regeneration +10%
Archer	SSR	B	Dylan	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	C	O'Neil	March Speed +20%	Load +20%		Unit Power +25%	Recovery +20%
Archer	SSR	C	Collin	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	C	Sabastian	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	C	Doris	March Speed +20%	Unit Power +20%		Unit Power +20%	Regeneration +10%
Archer	SSR	C	Ariza	March Speed +20%	Load +15%		Unit Power +25%	Recovery +20%
Archer	SSR	C	Livia	March Speed +20%	AP Discount 10%		Unit Power +25%	Regeneration +10%
Archer	SSR	C	Ryan	March Speed +20%	AP Discount 10%		Unit Power +25%	Recovery +10%
Archer	SSR	C	Kadir	Load +20%	March Speed +20%		Recovery +15%	Regeneration +10%
Archer	SSR	C	Bella	March Speed +20%	Recovery +15%		Load +20%	Regeneration +10%
Archer	SSR	C	Richard	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Archer	SSR	C	Torvi	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Archer	SSR	C	Gabriel	March Speed +20%	Load +20%		Unit Power +20%	Recovery +10%
Archer	SSR	D	Pan	March Speed +30%	AP Discount 10%		Load +20%	Regeneration +10%
Archer	SSR	D	Fatima	March Speed +20%	Load +20%		AP Discount 10%	Regeneration +10%
Archer	SSR	D	Montag	Load +20%	Gathering +20%		March Speed +20%	Regeneration +10%
Archer	SSR	D	Arthur	March Speed +20%	Offline +20%		Unit Power +20%	Gathering +20%
Archer	SSR	D	Jennifer	March Speed +20%	Tower Defense		Unit Power +20%	Load +10%
Archer	SR	F	Harold	Tower Defense	AP Discount 10%		Unit Power +15% (Archer)	
Archer	SR	F	Arwyn	Tower Defense	Tower Defense	Unit Power +15% (Archer)		
Fire	SSR	S	Ivy	March Speed +30%	Unit Power +20%		Unit Power +20%	Regeneration +15%
Fire	SSR	S	Tracy	March Speed +30%	Unit Power +20%		Unit Power +20%	Regeneration +15%
Fire	SSR	A	Anko	March Speed +30%	Recovery +15%		Unit Power +20%	Regeneration +10%
Fire	SSR	A	Lovelace	March Speed +30%	Recovery +15%		Unit Power +20%	Regeneration +10%
Fire	SSR	A	Erika	March Speed +25%	Recovery +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	A	Daria	March Speed +25%	Recovery +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	B	Vanessa	March Speed +20%	Recovery +15%		Unit Power +20%	Regeneration +10%
Fire	SSR	B	Dolvar	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +15%
Fire	SSR	B	Wallis	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +15%
Fire	SSR	B	Catrina	March Speed +20%	Recovery +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	B	Edmund	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Fire	SSR	B	Cosette	March Speed +20%	Load +30%		Unit Power +30%	Recovery +25%
Fire	SSR	B	Paul	March Speed +20%	Load +20%		Unit Power +30%	Recovery +25%
Fire	SSR	B	Sindra	March Speed +20%	Recovery +20%		Unit Power +20%	Recovery +20%
Fire	SSR	C	Apollo	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Fire	SSR	C	Giselle	March Speed +20%	AP Discount 10%		Unit Power +25%	Regeneration +10%
Fire	SSR	C	Dain	March Speed +20%	Load +20%		Recovery +15%	Regeneration +10%
Fire	SSR	C	Miku	AP Discount 20%	March Speed +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	C	Kenshiro	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	C	Penny	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	C	Christie	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Fire	SSR	C	Allen	March Speed +20%	Load +10%		Unit Power +25%	Recovery +15%
Fire	SSR	C	Gro	March Speed +15%	Unit Power +20% (Fire)		Tower Defense	Recovery +15%
Fire	SSR	D	Dean	Load +15%	Unit Power +20%		Recovery +15%	Regeneration +10%
Fire	SSR	D	Brie	Load +20%	Recovery +15%		Unit Power +20%	Regeneration +10%
Fire	SSR	D	Simon	March Speed +20%	Offline +20%		Unit Power +20%	Gathering +20%
Fire	SR	D	Kris	March Speed +20%	Gathering +20%		Unit Power +20%	
