Population Boom I	Fast Gathering I	Rain of Gold I	Territory Expansion I
Alliance Members +2	Gathering Speed +2%	Offline Gold Output Speed +1%	Alliance Obelisk Quantity +5
2 hr	2 hr	2 hr	24 hr
100,000	150,000	300,000	200,000
150,000	200,000	350,000	200,000
200,000	250,000	400,000	200,000
250,000	300,000	450,000	200,000
300,000	250,000	500,000	200,000
Territory Protection			
Territory Protection			
			
300,000			
Gift Galore I	High Capacity I	Rapid Recovery I	Territory Expansion II
Daily Gift Limit +10	Troop Load +1%	Power Recovery Speed +1%	Alliance Obelisk Quantity +5
2 hr	2 hr	2 hr	24 hr
250,000	200,000	350,000	400,000
300,000	250,000	400,000	400,000
350,000	300,000	450,000	400,000
400,000	350,000	500,000	400,000
450,000	400,000	550,000	400,000
Population Boom II	Fast Gathering I	Rain of Gold II	Territory Expansion III
Alliance Members +2	Gathering Speed +2%	Offline Gold Output Speed +1%	Alliance Obelisk Quantity +5
2 hr	2 hr	2 hr	48 hr
400,000	200,000	600,000	600,000
450,000	250,000	650,000	600,000
500,000	300,000	700,000	600,000
550,000	350,000	750,000	600,000
600,000	400,000	800,000	600,000
Gift Galore II	Fast Gathering II	Rapid Recovery II	Territory Expansion IV
Daily Gift Limit +10	Gathering Speed +2%	Power Recovery Speed +1%	Alliance Obelisk Quantity +5
2 hr	2 hr	2 hr	48 hr
400,000	450,000	650,000	800,000
450,000	500,000	700,000	800,000
500,000	550,000	750,000	800,000
550,000	600,000	800,000	800,000
600,000	650,000	850,000	800,000
Population Boom III	High Capacity I	Power Boost I	Territory Expansion V
Alliance Members +2	Troop Load +1%	Alliance Power+1%	Alliance Obelisk Quantity +5
		2 hr	3 d
700,000	500,000	1,000,000	1,000,000
750,000	550,000	1,000,000	1,000,000
800,000	600,000	1,000,000	1,000,000
850,000	650,000	1,000,000	1,000,000
900,000	700,000	1,000,000	1,000,000
Gift Galore III	High Capacity II	Rain of Gold III	Territory Expansion VI
Daily Gift Limit +10	Troop Load +1%	Offline Gold Output Speed +1%	Alliance Obelisk Quantity +5
2 hr	2 hr	2 hr	3 d
550,000	500,000	900,000	1,200,000
600,000	550,000	950,000	1,200,000
650,000	600,000	1,000,000	1,200,000
700,000	650,000	1,050,000	1,200,000
750,000	700,000	1,100,000	1,200,000
Rapid March I	Fast Gathering III	Rapid Recovery III	Territory Expansion VII
March Speed +1%	Gathering Speed +2%	Power Recovery Speed +1%	Alliance Obelisk Quantity +5
2 hr			
150,000	800,000	350,000	1,400,000
200,000	850,000	400,000	1,400,000
250,000	900,000	450,000	1,400,000
300,000	950,000	500,000	1,400,000
350,000	1,000,000	550,000	1,400,000
Gift Galore IV	High Capacity III	Rain of Gold IV	Territory Expansion VIII
Daily Gift Limit +10	Troop Load +1%	Offline Gold Output Speed +1%	Alliance Obelisk Quantity +5
	2 hr	2 hr	4 d
850,000	800,000	1,050,000	1,600,000
900,000	850,000	1,100,000	1,600,000
950,000	900,000	1,150,000	1,600,000
1,000,000	950,000	1,200,000	1,600,000
1,050,000	1,000,000	1,250,000	1,600,000
Rapid March II	Fast Gathering IV	Rapid Recovery IV	Territory Expansion IX
March Speed +1%	Gathering Speed +2%	Power Recovery Speed +1%	Alliance Obelisk Quantity +5
2 hr			5 d
	950,000		1,800,000
	1,000,000		1,800,000
	1,050,000		1,800,000
	1,100,000		1,800,000
	1,150,000		1,800,000
Gift Galore V	High Capacity IV	Power Boost II	Territory Expansion X
Daily Gift Limit +10	Troop Load +1%	Alliance Power+1%	Alliance Obelisk Quantity +5
		2 hr	5 d
1,000,000	950,000	2,000,000	2,000,000
1,050,000	1,000,000	2,000,000	2,000,000
1,100,000	1,050,000	2,000,000	2,000,000
1,150,000	1,100,000	2,000,000	2,000,000
1,200,000	1,150,000	2,000,000	2,000,000
