Season	Historical	Predicted	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11
Pre-Season	TRUE	FALSE	$4.99	$19.99	$99.99	Locked	Locked	Locked	Locked	Locked	Locked	Locked
Season 1	TRUE	FALSE	$4.99	$19.99	$99.99	Locked	Locked	Locked	Locked	Locked	Locked	Locked
Season 2	TRUE	FALSE	$4.99	$19.99	$99.99	Locked	Locked	Locked	Locked	Locked	Locked	Locked
Season 3	TRUE	FALSE	$4.99	$19.99	$99.99	Locked	Locked	Locked	Locked	Locked	Locked	Locked
Season 4	TRUE	FALSE	$4.99	$19.99	$99.99	Locked	Locked	Locked	Locked	Locked	Locked	Locked
Season 5	TRUE	FALSE	$4.99	$19.99	$99.99	Locked	Locked	Locked	Locked	Locked	Locked	Locked
Season 6	TRUE	FALSE	$0.99	$9.99	$99.99	Event	Locked	Locked	Locked	Locked	Locked	Locked
Season 7	TRUE	FALSE	$0.99	$9.99	$99.99		Locked	Locked	Locked	Locked	Locked	Locked
Season 8	TRUE	FALSE	$0.99	$4.99	$49.99		Locked	Locked	Locked	Locked	Locked	Locked
Season 9	TRUE	FALSE	$0.99	$4.99	$19.99		Locked	Locked	Locked	Locked	Locked	Locked
Season 10	TRUE	FALSE		$4.99	$19.99	$99.99	Event	Locked	Locked	Locked	Locked	Locked
Season 11	TRUE	FALSE		$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked	Locked
Season 12	TRUE	FALSE		$0.99	$9.99	$49.99		Locked	Locked	Locked	Locked	Locked
Season 13	TRUE	FALSE		$0.99	$9.99	$49.99		Locked	Locked	Locked	Locked	Locked
Season 14	TRUE	FALSE		$0.99	$4.99	$19.99		Locked	Locked	Locked	Locked	Locked
Season 15	TRUE	FALSE		$0.99	$4.99	$19.99		Locked	Locked	Locked	Locked	Locked
Season 16	TRUE	FALSE			$4.99	$19.99	$99.99	Event	Locked	Locked	Locked	Locked
Season 17	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 18	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 19	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 20	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 21	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 22	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 23	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 24	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 25	FALSE	TRUE			$4.99	$19.99	$99.99		Locked	Locked	Locked	Locked
Season 26	FALSE	TRUE			$4.99	$9.99	$49.99		Locked	Locked	Locked	Locked
Season 27	FALSE	TRUE			$4.99	$9.99	$49.99		Locked	Locked	Locked	Locked
Season 28	FALSE	TRUE				$4.99	$19.99	$99.99	Event	Locked	Locked	Locked
Season 29	FALSE	TRUE				$4.99	$19.99	$99.99		Locked	Locked	Locked
Season 30	FALSE	TRUE				$4.99	$19.99	$99.99		Locked	Locked	Locked
Season 31	TRUE	FALSE				$4.99	$9.99	$49.99		Locked	Locked	Locked
Season 32	TRUE	FALSE					$4.99	$19.99		Locked	Locked	Locked
Season 33	TRUE	FALSE					$4.99	$19.99		Locked	Locked	Locked
Season 34	TRUE	FALSE					$4.99	$19.99	$99.99	Event	Locked	Locked
Season 35	TRUE	FALSE					$4.99	$19.99	$99.99		Locked	Locked
Season 36	TRUE	FALSE					$0.99	$9.99	$49.99		Locked	Locked
Season 37	TRUE	FALSE					$0.99	$9.99	$49.99		Locked	Locked
Season 38	TRUE	FALSE					$0.99	$4.99	$19.99		Locked	Locked
Season 39	TRUE	FALSE					$0.99	$4.99	$19.99		Locked	Locked
Season 40	FALSE	TRUE						$4.99	$19.99	$99.99	Event	Locked
Season 41	FALSE	TRUE						$4.99	$19.99	$99.99		Locked
Season 42	FALSE	TRUE						$0.99	$9.99	$49.99		Locked
Season 43	FALSE	TRUE						$0.99	$9.99	$49.99		Locked
Season 44	FALSE	TRUE						$0.99	$4.99	$19.99		Locked
Season 45	FALSE	TRUE						$0.99	$4.99	$19.99		Locked
