Level	Dark Power	Castle Level	Upgrade Cost	Dark Regent
0	0	0	0 » 1	10
1	7,000	1	1 » 2	15
2	14,000	1	2 » 3	20
3	21,000	2	3 » 4	30
4	35,000	2	4 » 5	35
5	49,000	3	5 » 6	45
6	63,000	3	6 » 7	
7	77,000	4	7 » 8	
8	98,000	4	8 » 9	
9	119,000	5	9 » 10	
10	140,000	5	10 » 11	
11	161,000	6	11 » 12	
12	182,000	6	12 » 13	
13	210,000	7	13 » 14	
14	238,000	7	14 » 15	
15	266,000	8	15 » 16	
16	294,000	8	16 » 17	155
17	322,000	9	17 » 18	165
18	357,000	9	18 » 19	175
19	392,000	10	19 » 20	185
20	427,000	10	20 » 21	195
21	462,000	11	21 » 22	210
22	497,000	11	22 » 23	220
23	539,000	12	23 » 24	230
24	581,000	12	24 » 25	
25	623,000	13	25 » 26	255
26	665,000	13	26 » 27	265
27	707,000	14	27 » 28	280
28	749,000	14	28 » 29	290
29	798,000	15	29 » 30	
30	847,000	15	30 » 31	
31	896,000	16	31 » 32	
32	945,000	16	32 » 33	
33	994,000	17	33 » 34	
34	1,043,000	17	34 » 35	
35	1,099,000	18	35 » 36	
36	1,155,000	18	36 » 37	
37	1,211,000	19	37 » 38	
38	1,267,000	19	38 » 39	
39	1,323,000	20	39 » 40	
40	1,379,000	20	40 » 41	
41	1,435,000	21	41 » 42	
42	1,498,000	21	42 » 43	
43	1,561,000	22	43 » 44	
44	1,624,000	22	44 » 45	
45	1,687,000	23	45 » 46	
46	1,750,000	23	46 » 47	
47	1,813,000	24	47 » 48	
48	1,883,000	24	48 » 49	
49	1,953,000	25	49 » 50	
50	2,023,000	25	50 » 51	
51	2,093,000	26	51 » 52	
52	2,163,000	26	52 » 53	
53	2,233,000	27	53 » 54	
54	2,303,000	27	54 » 55	
55	2,380,000	28	55 » 56	
56	2,457,000	28	56 » 57	
57	2,534,000	29	57 » 58	
58	2,611,000	29	58 » 59	
59	2,688,000	30	59 » 60	
60	2,765,000	30	60 » 61	
61	2,842,000	31	61 » 62	
62	2,926,000	31	62 » 63	
63	3,010,000	32	63 » 64	
64	3,094,000	32	64 » 65	
65	3,178,000	33	65 » 66	
66	3,262,000	33	66 » 67	
67	3,346,000	34	67 » 68	
68	3,430,000	34	68 » 69	
69	3,521,000	35	69 » 70	
70	3,612,000	35	70 » 71	
71	3,703,000	36	71 » 72	
72	3,794,000	36	72 » 73	
73	3,885,000	37	73 » 74	
74	3,976,000	37	74 » 75	
75	4,067,000	38	75 » 76	
76	4,165,000	38	76 » 77	
77	4,263,000	39	77 » 78	
78	4,361,000	39	78 » 79	
79	4,459,000	40	79 » 80	
80	4,557,000	40	80 » 81	
81	4,655,000	41	81 » 82	
82	4,753,000	41	82 » 83	
83	4,858,000	42	83 » 84	
84	4,963,000	42	84 » 85	
85	5,068,000	43	85 » 86	
