3.7%	4.4%	6.4%	9.3%	13.5%	19.5%	28.3%	40.9%	59.3%	86.0%	124.7%
4.0%	4.8%	7.0%	10.1%	14.7%	21.3%	30.8%	44.7%	64.7%	93.8%	136.1%
4.4%	5.2%	7.6%	11.0%	15.9%	23.0%	33.4%	48.4%	70.1%	101.7%	147.4%
4.7%	5.6%	8.2%	11.8%	17.1%	24.8%	35.9%	52.1%	75.5%	109.5%	158.7%
5.0%	6.0%	8.7%	12.7%	18.3%	26.6%	38.5%	55.8%	80.9%	117.3%	
5.4%	6.4%	9.3%	13.5%	19.6%	28.3%	41.1%	59.5%	86.3%	125.1%	
5.7%	6.8%	9.9%	14.3%	20.8%	30.1%	43.6%	63.2%	91.7%	132.9%	
6.0%	7.2%	10.5%	15.2%	22.0%	31.9%	46.2%	67.0%	97.1%	140.7%	
6.4%	7.6%	11.1%	16.0%	23.2%	33.6%	48.8%	70.7%	102.5%	148.6%	
6.7%	8.0%	11.6%	16.9%	24.4%	35.4%	51.3%	74.4%	107.9%	156.4%	
7.0%	8.4%	12.2%	17.7%	25.7%	37.2%	53.9%	78.1%	113.3%	164.2%	
7.4%	8.8%	12.8%	18.6%	26.9%	39.0%	56.5%	81.8%	118.7%	172.0%	
7.7%	9.2%	13.4%	19.4%	28.1%	40.7%	59.0%	85.6%	124.1%	179.8%	
8.0%	9.6%	14.0%	20.2%	29.3%	42.5%	61.6%	89.3%	129.5%	187.6%	
8.4%	10.0%	14.5%	21.1%	30.5%	44.3%	64.1%	93.0%	134.9%	195.5%	
8.7%	10.4%	15.1%	21.9%	31.8%	46.0%	66.7%	96.7%	140.3%	203.3%	
9.0%	10.8%	15.7%	22.8%	33.0%	47.8%	69.3%	100.4%	145.7%	211.1%	
9.4%	11.2%	16.3%	23.6%	34.2%	49.6%	71.8%	104.1%	151.1%	218.9%	
9.7%	11.6%	16.9%	24.4%	35.4%	51.3%	74.4%	107.9%	156.5%	226.7%	
10.0%	12.0%	17.4%	25.3%	36.6%	53.1%	77.0%	111.6%	161.9%	234.5%	
