Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	59.3%	1 » 2	6,578,950	
2	64.7%	2 » 3	6,578,950	
3	70.1%	3 » 4	6,578,950	
4	75.5%	4 » 5	6,578,950	
5	80.9%	5 » 6	6,578,950	
6	86.3%	6 » 7	6,578,950	
7	91.7%	7 » 8	6,578,950	
8	97.1%	8 » 9	6,578,950	
9	102.5%	9 » 10	6,578,950	
10	107.9%	10 » 11	6,578,950	1,250,000
11	113.3%	11 » 12	6,578,950	1,250,000
12	118.7%	12 » 13	6,578,950	1,250,000
13	124.1%	13 » 14	6,578,950	1,250,000
14	129.5%	14 » 15	6,578,950	1,250,000
15	134.9%	15 » 16	6,578,950	1,250,000
16	140.3%	16 » 17	6,578,950	1,250,000
17	145.7%	17 » 18	6,578,950	1,250,000
18	151.1%	18 » 19	6,578,950	1,250,000
19	156.5%	19 » 20	6,578,950	1,250,000
20	161.9%			
