Phase	Historical	Predicted	Overall 1-3	
After Throne War	TRUE	FALSE	Magic	5
Season 1-3	TRUE	FALSE	Armor	5
Season 4	TRUE	FALSE	Magic	5
Season 5	TRUE	FALSE	Weapon	5
Season 6	TRUE	FALSE	Summon	5
Season 7	TRUE	FALSE	Armor	6
Season 8	TRUE	FALSE	Magic	6
Season 9	TRUE	FALSE	Weapon	6
Season 10	TRUE	FALSE	Summon	6
Season 11	TRUE	FALSE	Magic	6
Season 12	TRUE	FALSE	Armor	7
Season 13	TRUE	FALSE	Armor	7
Season 14	TRUE	FALSE	Magic	7
Season 15	TRUE	FALSE	Weapon	7
Season 16	TRUE	FALSE	Summon	7
Season 17	FALSE	TRUE	Weapon	7
Season 18	FALSE	TRUE	Armor	8
Season 19	FALSE	TRUE	Armor	8
Season 20	FALSE	TRUE	Magic	8
Season 21	TRUE	FALSE	Summon	7
Season 22	TRUE	FALSE	Weapon	8
Season 23	TRUE	FALSE	Armor	8
Season 24	TRUE	FALSE	Armor	8
Season 25	TRUE	FALSE	Weapon	9
Season 26	TRUE	FALSE	Magic	9
Season 27	TRUE	FALSE	Weapon	9
Season 28	TRUE	FALSE	Summon	8
Season 29	TRUE	FALSE	Magic	9
Season 30	TRUE	FALSE	Armor	9
Season 31	TRUE	FALSE	Armor	9
Season 32	TRUE	FALSE	Magic	10
Season 33	TRUE	FALSE	Weapon	10
Season 34	TRUE	FALSE	Summon	9
Season 35	TRUE	FALSE	Magic	10
Season 36	TRUE	FALSE	Armor	10
Season 37	TRUE	FALSE	Armor	10
Season 38	TRUE	FALSE	Magic	11
Season 39	TRUE	FALSE	Weapon	11
Season 40	FALSE	TRUE	Summon	10
Season 41	FALSE	TRUE	Armor	11
Season 42	FALSE	TRUE	Armor	11
