Hero	Advanced Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel		TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	7.47%	TRUE	TRUE	TRUE	
Jennifer		TRUE	TRUE	TRUE	Element Lord
Erika	4.21%	TRUE	TRUE	TRUE	
Allen		TRUE	TRUE	TRUE	
Gro	7.52%	TRUE	TRUE	TRUE	Element Lord
Rosamond		FALSE	FALSE	TRUE	Element Lord
Catherine	7.47%	TRUE	TRUE	TRUE	
Paula	4.16%	TRUE	TRUE	TRUE	
Hadi	7.47%	TRUE	TRUE	TRUE	
Ralph		TRUE	TRUE	TRUE	Element Lord
O'Neil		TRUE	TRUE	FALSE	Bounty Hall
Cosette		TRUE	TRUE	FALSE	Bounty Hall
Dolvar		TRUE	TRUE	FALSE	Bounty Hall
Paul		TRUE	TRUE	FALSE	Bounty Hall
Wallis		TRUE	TRUE	FALSE	Bounty Hall
Issac		TRUE	TRUE	FALSE	Bounty Hall
Ariza		FALSE	FALSE	FALSE	Bounty Hall
Meniere		FALSE	FALSE	FALSE	Bounty Hall
Gruen		FALSE	FALSE	FALSE	Bounty Hall
Sahar		FALSE	FALSE	FALSE	Bounty Hall
Rudolph		FALSE	FALSE	FALSE	Bounty Hall
Jessica		FALSE	FALSE	FALSE	Bounty Hall
Nicole		TRUE	TRUE	FALSE	
