Hero	Advanced Recruitment	Stats Recruitment	Free Pick	Crystal		Wheel	Other
Gabriel		0.37%	TRUE	TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	7.77%	0.37%	TRUE	TRUE	TRUE	TRUE	
Jennifer		0.37%	TRUE	TRUE	TRUE	TRUE	Element Lord
Erika	3.28%	0.37%	TRUE	TRUE	TRUE	TRUE	
Allen		0.37%	TRUE	TRUE	TRUE	TRUE	
Gro	7.81%	0.37%	TRUE	TRUE	TRUE	TRUE	Element Lord
Rosamond		2.58%	TRUE	TRUE	TRUE	TRUE	Element Lord
Catherine	7.77%	0.50%	TRUE	TRUE	TRUE	TRUE	
Paula	3.24%		TRUE	TRUE	TRUE	TRUE	
Hadi	7.77%		TRUE	TRUE	TRUE	TRUE	
Ralph			TRUE	TRUE	TRUE	TRUE	Element Lord
O'Neil			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Cosette			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Dolvar			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Paul			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Wallis			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Issac			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Ariza			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Meniere			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Gruen			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Sahar			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Rudolph			TRUE	FALSE	FALSE	FALSE	Bounty Hall
Jessica			TRUE	TRUE	TRUE	FALSE	Bounty Hall
Nicole			TRUE	TRUE	TRUE	FALSE	
Pan			TRUE	FALSE	FALSE	FALSE	
Claudia			TRUE	TRUE	TRUE	FALSE	
Kadir			TRUE	TRUE	TRUE	FALSE	
Christie			TRUE	TRUE	TRUE	FALSE	
Anko			TRUE	FALSE	FALSE	FALSE	
Vera			TRUE	TRUE	TRUE	FALSE	
Richard			TRUE	TRUE	TRUE	FALSE	
Penny			TRUE	FALSE	FALSE	FALSE	
Torvi			TRUE	TRUE	TRUE	FALSE	
Kenshiro			TRUE	FALSE	FALSE	FALSE	
Lilani			TRUE	TRUE	TRUE	FALSE	
Lomax			TRUE	TRUE	TRUE	FALSE	
Livia			TRUE	TRUE	TRUE	FALSE	
Giselle			TRUE	FALSE	FALSE	FALSE	
Pedra		2.33%	TRUE	TRUE	TRUE	FALSE	
Samar			TRUE	FALSE	FALSE	FALSE	
Filius			TRUE	FALSE	FALSE	FALSE	
Arwin			TRUE	FALSE	FALSE	FALSE	
Colin			TRUE	FALSE	FALSE	FALSE	
Apollo			TRUE	FALSE	FALSE	FALSE	
Parr			TRUE	FALSE	FALSE	FALSE	
Benjamin			TRUE	FALSE	FALSE	FALSE	
Sabastian			TRUE	FALSE	FALSE	FALSE	
Dain			TRUE	FALSE	FALSE	FALSE	
Wendy			TRUE	FALSE	FALSE	FALSE	
Fatima			TRUE	FALSE	FALSE	FALSE	
Dean			TRUE	FALSE	FALSE	FALSE	
Maud			TRUE	FALSE	FALSE	FALSE	
Suad			TRUE	FALSE	FALSE	FALSE	
Bella			TRUE	FALSE	FALSE	FALSE	
Brie			TRUE	FALSE	FALSE	FALSE	
Keith			TRUE	FALSE	FALSE	FALSE	
Chiyoko			TRUE	FALSE	FALSE	FALSE	
Meg			TRUE	FALSE	FALSE	FALSE	
Vanessa			TRUE	FALSE	FALSE	FALSE	
Nathaniel			TRUE	FALSE	FALSE	FALSE	
Luvia			TRUE	FALSE	FALSE	FALSE	
Hana			TRUE	FALSE	FALSE	FALSE	
Pythia			TRUE	FALSE	FALSE	FALSE	
Montag			TRUE	FALSE	FALSE	FALSE	
Rogers			TRUE	FALSE	FALSE	FALSE	
Simon			TRUE	FALSE	FALSE	FALSE	
Trist			TRUE	FALSE	FALSE	FALSE	
Blackwell			TRUE	FALSE	FALSE	FALSE	
Ptolemy			TRUE	FALSE	FALSE	FALSE	
Ao Yue			TRUE	FALSE	FALSE	FALSE	
Ao Deng Ge Ri Le			TRUE	FALSE	FALSE	FALSE	
Lilith			TRUE	FALSE	FALSE	FALSE	
Rila			TRUE	FALSE	FALSE	FALSE	
Maya			TRUE	FALSE	FALSE	FALSE	
Johannes			TRUE	FALSE	FALSE	FALSE	
Daria			TRUE	FALSE	FALSE	FALSE	
Lovelace			TRUE	FALSE	FALSE	FALSE	
Judy			TRUE	FALSE	FALSE	FALSE	
Trishy			TRUE	FALSE	FALSE	FALSE	
Boudica			TRUE	FALSE	FALSE	FALSE	
Angelina			TRUE	FALSE	FALSE	FALSE	
Doris			TRUE	FALSE	FALSE	FALSE	
Dylan			TRUE	FALSE	FALSE	FALSE	
