Hero	Advanced Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel		TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	7.77%	TRUE	TRUE	TRUE	
Jennifer		TRUE	TRUE	TRUE	Element Lord
Erika	3.28%	TRUE	TRUE	TRUE	
Allen		TRUE	TRUE	TRUE	
Gro	7.81%	TRUE	TRUE	TRUE	Element Lord
Rosamond		TRUE	TRUE	TRUE	Element Lord
Catherine	7.77%	TRUE	TRUE	TRUE	
Paula	3.24%	TRUE	TRUE	TRUE	
Hadi	7.77%	TRUE	TRUE	TRUE	
Ralph		TRUE	TRUE	TRUE	Element Lord
O'Neil		TRUE	TRUE	FALSE	Bounty Hall
Cosette		TRUE	TRUE	FALSE	Bounty Hall
Dolvar		TRUE	TRUE	FALSE	Bounty Hall
Paul		TRUE	TRUE	FALSE	Bounty Hall
Wallis		TRUE	TRUE	FALSE	Bounty Hall
Issac		TRUE	TRUE	FALSE	Bounty Hall
Ariza		TRUE	TRUE	FALSE	Bounty Hall
Meniere		TRUE	TRUE	FALSE	Bounty Hall
Gruen		TRUE	TRUE	FALSE	Bounty Hall
Sahar		TRUE	TRUE	FALSE	Bounty Hall
Rudolph		TRUE	TRUE	FALSE	Bounty Hall
Jessica		TRUE	TRUE	FALSE	Bounty Hall
Nicole		TRUE	TRUE	FALSE	
Pan		TRUE	FALSE	FALSE	
Claudia		TRUE	TRUE	FALSE	
Kadir		TRUE	TRUE	FALSE	
Christie		TRUE	TRUE	FALSE	
Anko		TRUE	FALSE	FALSE	
Vera		TRUE	TRUE	FALSE	
Richard		TRUE	TRUE	FALSE	
Penny		TRUE	FALSE	FALSE	
Torvi		TRUE	TRUE	FALSE	
Kenshiro		TRUE	FALSE	FALSE	
Lilani		TRUE	TRUE	FALSE	
Lomax		TRUE	TRUE	FALSE	
Livia		TRUE	TRUE	FALSE	
Giselle		TRUE	FALSE	FALSE	
Pedra		TRUE	TRUE	FALSE	
Filius		TRUE	TRUE	FALSE	
Arwin		TRUE	TRUE	FALSE	
Collin		TRUE	FALSE	FALSE	
Apollo		TRUE	TRUE	FALSE	
Parr		TRUE	TRUE	FALSE	
Benjamin		TRUE	TRUE	FALSE	
Sabastian		TRUE	FALSE	FALSE	
Dain		TRUE	FALSE	FALSE	
Wendy		TRUE	TRUE	FALSE	
Fatima		TRUE	FALSE	FALSE	
Dean		TRUE	TRUE	FALSE	
Maud		TRUE	FALSE	FALSE	
Suad		TRUE	FALSE	FALSE	
Bella		TRUE	FALSE	FALSE	
Brie		TRUE	FALSE	FALSE	
Keith		TRUE	FALSE	FALSE	
Chiyoko		TRUE	FALSE	FALSE	
Meg		TRUE	FALSE	FALSE	
Vanessa		TRUE	FALSE	FALSE	
Nathaniel		TRUE	FALSE	FALSE	
Luvia		TRUE	FALSE	FALSE	
Hana		TRUE	FALSE	FALSE	
Pythia		TRUE	FALSE	FALSE	
Montag		TRUE	FALSE	FALSE	
Rogers		TRUE	FALSE	FALSE	
Simon		TRUE	FALSE	FALSE	
Trist		TRUE	FALSE	FALSE	
Blackwell		TRUE	FALSE	FALSE	
Ptolemy		TRUE	FALSE	FALSE	
Ao Yue		TRUE	FALSE	FALSE	
Ao Deng Ge Ri Le		TRUE	FALSE	FALSE	
Lilith		TRUE	FALSE	FALSE	
Rila		TRUE	FALSE	FALSE	
Maya		TRUE	FALSE	FALSE	
Johannes		TRUE	FALSE	FALSE	
Daria		TRUE	FALSE	FALSE	
Lovelace		TRUE	FALSE	FALSE	
Judy		TRUE	FALSE	FALSE	
Trishy		TRUE	FALSE	FALSE	
Boudica		TRUE	FALSE	FALSE	
Angelina		TRUE	FALSE	FALSE	
Doris		TRUE	FALSE	FALSE	
Dylan		TRUE	FALSE	FALSE	
Ivy		TRUE	FALSE	FALSE	
Sindra		TRUE	FALSE	FALSE	
Enzo		TRUE	FALSE	FALSE	
Rebecca		TRUE	FALSE	FALSE	
Daisy		TRUE	FALSE	FALSE	
Mycelia		TRUE	FALSE	FALSE	
