Hero	Advanced Recruitment	Stats Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel		0.37%	TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	7.77%	0.37%	TRUE	TRUE	TRUE	
Jennifer		0.37%	TRUE	TRUE	TRUE	Element Lord
Erika	3.28%	0.37%	TRUE	TRUE	TRUE	
Allen		0.37%	TRUE	TRUE	TRUE	
Gro	7.81%	0.37%	TRUE	TRUE	TRUE	Element Lord
Rosamond		2.58%	FALSE	FALSE	TRUE	Element Lord
Catherine	7.77%	0.50%	TRUE	TRUE	TRUE	
Paula	3.24%		TRUE	TRUE	TRUE	
Hadi	7.77%		TRUE	TRUE	TRUE	
Ralph		0.50%	TRUE	TRUE	TRUE	Element Lord
O'Neil		0.37%	TRUE	TRUE	FALSE	Bounty Hall
Cosette		0.25%	TRUE	TRUE	FALSE	Bounty Hall
Dolvar		0.25%	TRUE	TRUE	FALSE	Bounty Hall
Paul		2.45%	TRUE	TRUE	FALSE	Bounty Hall
Wallis		2.33%	TRUE	TRUE	FALSE	Bounty Hall
Issac		0.50%	TRUE	TRUE	FALSE	Bounty Hall
Ariza		2.45%	FALSE	FALSE	FALSE	Bounty Hall
Meniere		0.50%	TRUE	TRUE	FALSE	Bounty Hall
Gruen		0.25%	TRUE	TRUE	FALSE	Bounty Hall
Sahar		0.25%	TRUE	TRUE	FALSE	Bounty Hall
Rudolph		0.50%	FALSE	FALSE	FALSE	Bounty Hall
Jessica		2.58%	TRUE	TRUE	FALSE	Bounty Hall
Nicole		0.50%	TRUE	TRUE	FALSE	
Pan		2.33%	TRUE	FALSE	FALSE	
Claudia		0.50%	TRUE	TRUE	FALSE	
Kadir		2.33%	TRUE	TRUE	FALSE	
Christie		2.33%	TRUE	TRUE	FALSE	
Anko			TRUE	FALSE	FALSE	
Vera		0.25%	TRUE	TRUE	FALSE	
Richard		0.25%	TRUE	TRUE	FALSE	
Penny		2.33%	TRUE	FALSE	FALSE	
Torvi		2.33%	TRUE	TRUE	FALSE	
Kenshiro		2.33%	TRUE	FALSE	FALSE	
