Season	SR Heroes	SSR Heroes	SSR %	Verified
Phase 1				FALSE
Phase 2	Harold, Arwyn	Arthur, Gabriel, Jennifer, O'Neil, Ariza	4.00%	TRUE
Transition	Harold, Arwyn	Arthur, Sabastian, Pan	7.69%	TRUE
Season 2	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil	7.14%	TRUE
Season 3	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil	7.14%	TRUE
Season 4	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer	6.67%	TRUE
Season 5	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer	6.67%	TRUE
Season 6	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer, Ariza	6.25%	TRUE
Season 7	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer, Ariza	6.25%	TRUE
Season 8	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer, Ariza, Sahar	5.88%	TRUE
Season 9	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer, Ariza, Sahar	5.88%	TRUE
Season 10	Harold, Arwyn	Arthur, Sabastian, Pan, O'Neil, Jennifer, Ariza, Sahar, Richard	5.56%	TRUE
Season 32	Harold, Arwyn	Arthur, Sebastian, Pan, O'Neil, Jennifer, Ariza, Sahar, Richard, Gabriel, Torvi, Livia, Kadir, Collin	4.35%	TRUE
Season 33	Harold, Arwyn	Arthur, Sebastian, Pan, O'Neil, Jennifer, Ariza, Sahar, Richard, Gabriel, Torvi, Livia, Kadir, Collin	4.35%	TRUE
