Season	SR Heroes	SSR Heroes	SSR %	Verified
Phase 1				FALSE
Phase 2	Kris, Ophelia, Samar	Gro, Erika, Allen, Paul	2.94%	TRUE
Transition	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo	6.67%	TRUE
Season 2	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo	6.67%	TRUE
Season 3	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo	6.67%	TRUE
Season 4	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo	6.67%	TRUE
Season 5	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo	6.67%	TRUE
Season 6	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo, Erika	6.25%	TRUE
Season 7	Kris, Ophelia	Gro, Christie, Penny, Giselle, Apollo, Erika	6.25%	TRUE
Season 8	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika	4.76%	TRUE
Season 9	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika	4.76%	TRUE
Season 10	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika, Allen	4.55%	TRUE
Season 11	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika, Allen, Cosette, Dolvar, Paul, Wallis, Kenshiro	3.70%	TRUE
Season 32	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika, Allen, Cosette, Dolvar, Paul, Wallis, Kenshiro	3.70%	TRUE
Season 33	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika, Allen, Cosette, Dolvar, Paul, Wallis, Kenshiro	3.70%	TRUE
Season 34	Kris, Ophelia, Samar	Gro, Christie, Penny, Giselle, Apollo, Erika, Allen, Cosette, Dolvar, Paul, Wallis, Kenshiro	3.70%	TRUE  
