Season	SR Heroes	SSR Heroes	SSR %	Verified
Phase 1	Alucard	Catherine, Rosamond, Issac, Gruen, Meniere, Claudia	6.98%	TRUE
Phase 2		Catherine, Rosamond, Issac, Gruen, Meniere, Claudia	16.67%	TRUE
Transition		Catherine, Rosamond, Arwin, Benjamin, Suad	20.00%	TRUE
Season 2		Catherine, Rosamond, Arwin, Benjamin, Suad	20.00%	TRUE
Season 3		Catherine, Rosamond, Arwin, Benjamin, Suad	20.00%	FALSE
Season 4		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko	16.67%	TRUE
Season 5		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy	14.29%	TRUE
Season 6		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy	14.29%	TRUE
Season 7		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy, Luvia	12.50%	TRUE
Season 8		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy, Luvia, Claudia	11.11%	TRUE
Season 9		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy, Luvia, Claudia	11.11%	TRUE
Season 10		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy, Luvia, Claudia	11.11%	TRUE
Season 32		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy, Luvia, Claudia, Meniere, Lomax, Issac	8.33%	TRUE
Season 33		Catherine, Rosamond, Arwin, Benjamin, Suad, Chiyoko, Wendy, Luvia, Claudia, Meniere, Lomax, Issac	8.33%	TRUE
