Season	SR Heroes	SSR Heroes	SSR %	Verified
Phase 1				FALSE
Phase 2	Merlin		0.00%	FALSE
Transition	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 2	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 3	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 4	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 5	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 6	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 7	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 8	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	TRUE
Season 9	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel	4.69%	FALSE
Season 10	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel, Keith	4.48%	TRUE
Season 32	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel, Keith	4.48%	TRUE
Season 33	Merlin	Hadi, Paula, Ralph, Nicole, Rudolph, Jessica, Vera, Lilani, Pedra, Filius, Parr, Maud, Nathaniel, Keith	4.48%	TRUE
