Hero	Advanced Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel	FALSE	TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	TRUE	TRUE	TRUE	TRUE	
Jennifer	FALSE	TRUE	TRUE	TRUE	Element Lord
Erika	FALSE	TRUE	TRUE	TRUE	
Allen	FALSE	TRUE	TRUE	TRUE	
Gro	TRUE	TRUE	TRUE	TRUE	Element Lord
Rosamond	FALSE	FALSE	FALSE	TRUE	Element Lord
Catherine	TRUE	TRUE	TRUE	TRUE	
Paula	TRUE	TRUE	TRUE	TRUE	
Hadi	TRUE	TRUE	TRUE	TRUE	
Ralph	FALSE	TRUE	TRUE	TRUE	Element Lord
O'Neil	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Cosette	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Dolvar	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Paul	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Issac	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Ariza	FALSE	FALSE	FALSE	FALSE	Bounty Hall
Meniere	FALSE	FALSE	FALSE	FALSE	Bounty Hall
Gruen	FALSE	FALSE	FALSE	FALSE	Bounty Hall
Sahar	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Rudolph	FALSE	FALSE	FALSE	FALSE	Bounty Hall
Jessica	FALSE	FALSE	FALSE	FALSE	Bounty Hall
Wallis	FALSE	TRUE	TRUE	FALSE	
Nicole	FALSE	TRUE	TRUE	FALSE	
Pan	FALSE	TRUE	FALSE	FALSE	
Claudia	FALSE	TRUE	TRUE	FALSE	
Kadir	FALSE	TRUE	TRUE	FALSE	
Christie	FALSE	TRUE	TRUE	FALSE	
Anko	FALSE	TRUE	FALSE	FALSE	
