Hero	Advanced Recruitment	Stats Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel		0.37%	TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	7.77%	0.37%	TRUE	TRUE	TRUE	
Jennifer		0.37%	TRUE	TRUE	TRUE	Element Lord
Erika	3.28%	0.37%	TRUE	TRUE	TRUE	
Allen		0.37%	TRUE	TRUE	TRUE	
Gro	7.81%	0.37%	TRUE	TRUE	TRUE	Element Lord
Rosamond		2.58%	FALSE	TRUE	TRUE	Element Lord
Catherine	7.77%	0.50%	TRUE	TRUE	TRUE	
Paula	3.24%		TRUE	TRUE	TRUE	
Hadi	7.77%		TRUE	TRUE	TRUE	
Ralph		0.50%	TRUE	TRUE	TRUE	Element Lord
O'Neil		0.37%	TRUE	TRUE	FALSE	Bounty Hall
Cosette		0.25%	TRUE	TRUE	FALSE	Bounty Hall
Dolvar		0.25%	TRUE	TRUE	FALSE	Bounty Hall
Paul		2.45%	TRUE	TRUE	FALSE	Bounty Hall
Wallis		2.33%	TRUE	TRUE	FALSE	Bounty Hall
Issac		0.50%	TRUE	TRUE	FALSE	Bounty Hall
Ariza		2.45%	TRUE	TRUE	FALSE	Bounty Hall
Meniere		0.50%	FALSE	FALSE	FALSE	Bounty Hall
Gruen		0.25%	FALSE	FALSE	FALSE	Bounty Hall
Sahar		0.25%	FALSE	FALSE	FALSE	Bounty Hall
Cosette		0.25%	FALSE	FALSE	FALSE	Bounty Hall
Rudolph		0.50%	FALSE	FALSE	FALSE	Bounty Hall
Jessica		2.58%	FALSE	FALSE	FALSE	Bounty Hall
Nicole		0.50%	TRUE	TRUE	FALSE	
Pan		2.33%	TRUE	TRUE	FALSE	
Torvi		2.33%	FALSE	FALSE	FALSE	
Livia		2.33%	FALSE	FALSE	FALSE	
Kadir		2.33%	FALSE	FALSE	FALSE	
Collin		2.33%	FALSE	FALSE	FALSE	
Sabastian		2.33%	FALSE	FALSE	FALSE	
Kenshiro		2.33%	FALSE	FALSE	FALSE	
Christie		2.33%	FALSE	FALSE	FALSE	
Penny		2.33%	FALSE	FALSE	FALSE	
Giselle		2.33%	FALSE	FALSE	FALSE	
Apollo		2.33%	FALSE	FALSE	FALSE	
Vera		0.25%	FALSE	FALSE	FALSE	
Lilani		2.33%	FALSE	FALSE	FALSE	
Pedra		2.33%	FALSE	FALSE	FALSE	
Filius		2.33%	FALSE	FALSE	FALSE	
Parr		2.33%	FALSE	FALSE	FALSE	
Maud		2.33%	FALSE	FALSE	FALSE	
Keith		2.33%	FALSE	FALSE	FALSE	
Nathaniel		2.33%	FALSE	FALSE	FALSE	
Lomax		2.33%	FALSE	FALSE	FALSE	
Arwin		2.33%	FALSE	FALSE	FALSE	
Benjamin		2.33%	FALSE	FALSE	FALSE	
Wendy		2.33%	FALSE	FALSE	FALSE	
Suad		2.33%	FALSE	FALSE	FALSE	
Chiyoko		2.33%	FALSE	FALSE	FALSE	
Luvia		2.33%	FALSE	FALSE	FALSE	
Claudia		0.50%	FALSE	FALSE	FALSE	
Richard		0.25%	FALSE	FALSE	FALSE	
