Season	Historical	Predicted	T8	T9	T10	T11	T12	T13
46	FALSE	TRUE	$4.99	$19.99	$99.99	Event	Locked	Locked
47	FALSE	TRUE	$4.99	$19.99	$99.99		Locked	Locked
48	FALSE	TRUE	$0.99	$9.99	$49.99		Locked	Locked
49	FALSE	TRUE	$0.99	$9.99	$49.99		Locked	Locked
50	FALSE	TRUE	$0.99	$4.99	$19.99		Locked	Locked
51	FALSE	TRUE	$0.99	$4.99	$19.99		Locked	Locked
52	FALSE	TRUE		$4.99	$19.99	$99.99	Event	Locked
53	FALSE	TRUE		$4.99	$19.99	$99.99		Locked
54	FALSE	TRUE		$0.99	$9.99	$49.99		Locked
55	FALSE	TRUE		$0.99	$9.99	$49.99		Locked
56	FALSE	TRUE		$0.99	$4.99	$19.99		Locked
57	FALSE	TRUE		$0.99	$4.99	$19.99		Locked
