March Speed on World Map				15%	15%	15%	30%	30%	30%	30%	30%	30%	30%	50%	50%	50%	70%	70%	70%	70%
Quick Rallies				3	4	5	6	7	8	9	11	13	16	20	24	28	35	40	50	50
Consecutive Monster Kills							40	40	40	50	50	60	60	60	60	75	75	85	100	120
Offline Gold Output Speed	10%	15%	20%	25%	30%	35%	40%	45%	50%	55%	60%	65%	70%	75%	80%	85%	90%	95%	100%	100%
Gold Gathering Speed	5%	20%	20%	20%	20%	40%	40%	60%	80%	80%	80%	100%	100%	100%	100%	100%	100%	100%	100%	100%
Troop Load		20%	20%	20%	20%	20%	20%	40%	40%	40%	60%	60%	80%	80%	100%	100%	100%	100%	100%	100%
Troop Recovery Speed							15%	15%	15%	15%	15%	15%	30%	30%	30%	30%	50%	50%	50%	50%
Power of all garrisoned troops						10%	10%	10%	20%	20%	20%	20%	20%	30%	30%	40%	40%	40%	40%	40%
Archer Power								10%	10%	10%	10%	10%	25%	25%	25%	25%	25%	25%	25%	25%
Flame Mage Power									10%	10%	10%	10%	10%	25%	25%	25%	25%	25%	25%	25%
Ice Wizard Power											10%	10%	10%	10%	25%	25%	25%	25%	25%	25%
Goblin Power												10%	10%	10%	10%	25%	25%	25%	25%	25%
All Troops Power												10%	10%	10%	10%	10%	20%	25%	30%	35%
