	VIP-0	VIP-1	VIP-2	VIP-3	VIP-4	VIP-5	VIP-6	VIP-7	VIP-8	VIP-9	VIP-10	VIP-11	VIP-12	VIP-13	VIP-14	VIP-15	VIP-16	VIP-17	VIP-18	VIP-19
VIP Points		10	50	200	500	1,000	2,000	5,000	10,000	20,000	35,000	50,000	70,000	100,000	150,000	200,000	300,000	500,000	750,000	1,200,000
Action Point Limit	200	200	250	300	300	350	350	350	350	400	400	500	500	500	500	600	600	700	800	900
AP Recovery time									-20%	-30%	-40%	-50%	-50%	-60%	-60%	-60%	-60%	-60%	-60%	-60%
March Speed on World Map				+15%	+15%	+15%	+30%	+30%	+30%	+30%	+30%	+30%	+30%	+50%	+50%	+50%	+70%	+70%	+70%	+70%
Quick Rallies				3	4	5	6	7	8	9	11	13	16	20	24	28	35	40	50	50
Consecutive Monster Kills							40	40	40	50	50	60	60	60	60	75	75	85	100	120
Offline Gold Output Speed	+10%	+15%	+20%	+25%	+30%	+35%	+40%	+45%	+50%	+55%	+60%	+65%	+70%	+75%	+80%	+85%	+90%	+95%	+100%	+100%
Gold Gathering Speed	+5%	+20%	+20%	+20%	+20%	+40%	+40%	+60%	+80%	+80%	+80%	+100%	+100%	+100%	+100%	+100%	+100%	+100%	+100%	+100%
Troop Load		+20%	+20%	+20%	+20%	+20%	+20%	+40%	+40%	+40%	+60%	+60%	+80%	+80%	+100%	+100%	+100%	+100%	+100%	+100%
Troop Recovery Speed							+15%	+15%	+15%	+15%	+15%	+15%	+30%	+30%	+30%	+30%	+50%	+50%	+50%	+50%
Power of all garrisoned troops						+10%	+10%	+10%	+20%	+20%	+20%	+20%	+20%	+30%	+30%	+40%	+40%	+40%	+40%	+40%
Archer Power								+10%	+10%	+10%	+10%	+10%	+25%	+25%	+25%	+25%	+25%	+25%	+25%	+25%
Flame Mage Power									+10%	+10%	+10%	+10%	+10%	+25%	+25%	+25%	+25%	+25%	+25%	+25%
Ice Wizard Power											+10%	+10%	+10%	+10%	+25%	+25%	+25%	+25%	+25%	+25%
Goblin Power												+10%	+10%	+10%	+10%	+25%	+25%	+25%	+25%	+25%
All Troops Power												+10%	+10%	+10%	+10%	+10%	+20%	+25%	+30%	+35%
Hero skill cooldown		-10%	-10%	-20%	-20%	-30%	-30%	-40%	-40%	-50%	-50%?	-60%?	-60%	-70%	-70%	-70%	-80%	-80%	-80%	-80%
Battle speedup duration	3 min	3 min	6 min	6 min	6 min	6 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min	9 min
Battle speedup	2×	2×	2×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×	3×
Free Advanced Recruitment	1/24h	1/24h	1/24h	1/24h	1/24h	1/18h	1/18h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h	1/12h
