Train {{num}} unit(s)	30
Merge unit {{num}} time(s)	15
Merge Lv. {{num}} ARCHER	5
FLAME MAGE reaches Lv. {{num}}	5
Reach Stage {{num}}	30
Use Auto-Merge {{num}} time(s) in total	1
Train {{num}} unit(s)	45
Perform Hero Recruitment {{num}} time(s)	1
Any Hero reaches Lv. {{num}}	2
Complete {{num}} Station quest(s) in total	5
Any Hero reaches Lv. {{num}}	3
Train {{num}} unit(s)	50
Merge unit {{num}} time(s)	20
Castle reaches Lv. {{num}}	8
Reach Stage {{num}}	70
Train {{num}} unit(s)	30
Merge unit {{num}} time(s)	15
Earn {{num}} daily quest point(s)	45
Castle reaches Lv. {{num}}	12
Reach Stage {{num}}	110
Unlock {{num}} Gallery Puzzle(s)	1
Complete {{num}} Station quest(s) in total	2
Upgrade any 1 Hero(es) to Lv. {{num}}	7
Reach Stage {{num}}	140
Castle reaches Lv. {{num}}	16
Upgrade any 2 Hero(es) to Lv. {{num}}	10
Merge unit {{num}} time(s)	25
Make {{num}} purchase(s) in Alliance Store in total	1
Complete {{num}} Station quest(s) in total	5
Castle reaches Lv. {{num}}	19
Perform Hero Recruitment {{num}} time(s)	5
Train {{num}} unit(s)	50
Make {{num}} purchase(s) in Alliance Store in total	3
Upgrade any 1 Hero(es) to Lv. {{num}}	15
Castle reaches Lv. {{num}}	22
Upgrade any 2 Hero(es) to Lv. {{num}}	17
Complete {{num}} Station quest(s) in total	5
Use {{num}} Action Point(s)	50
Earn {{num}} daily quest point(s)	60
Castle reaches Lv. {{num}}	25
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
Upgrade any 2 Hero(es) to Lv. {{num}}	30
Challenge any level of monsters {{num}} time(s)	5
Power reaches {{num}}	4,000,000
Promote any {{num}} Hero(es) to 1 Stars	2
Castle reaches Lv. {{num}}	60
Perform Hero Recruitment {{num}} time(s)	10
Upgrade Any Unit {{num}} time(s)	10
Upgrade any 1 Hero(es) to Lv. {{num}}	35
Power reaches {{num}}	8,000,000
Castle reaches Lv. {{num}}	80
Challenge any level of monsters {{num}} time(s)	5
Perform Hero Recruitment {{num}} time(s)	10
Any Hero reaches Lv. {{num}}	35
Make {{num}} purchase(s) in Alliance Store in total	8
Castle reaches Lv. {{num}}	95
Challenge any level of monsters {{num}} time(s)	5
Upgrade Any Unit {{num}} time(s)	20
Upgrade any 1 Hero(es) to Lv. {{num}}	40
Power reaches {{num}}	10,000,000
Castle reaches Lv. {{num}}	100
Earn {{num}} daily quest point(s)	60
Independently gather {{num}}K Gold	40
Independently perform Alliance Tech Donation {{num}} time(s) in total	10
Make {{num}} purchase(s) in Alliance Store in total	1
Castle reaches Lv. {{num}}	105
Upgrade any 1 Hero(es) to Lv. {{num}}	40
Challenge any level of monsters {{num}} time(s)	5
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	20
Power reaches {{num}}	12,000,000
Castle reaches Lv. {{num}}	115
Upgrade Any Unit {{num}} time(s)	20
Upgrade any 2 Hero(es) to Lv. {{num}}	40
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	25
Earn {{num}} daily quest point(s)	100
Castle reaches Lv. {{num}}	125
Challenge any level of monsters {{num}} time(s)	5
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	30
Earn {{num}} daily quest point(s)	60
Power reaches {{num}}	15,000,000
Castle reaches Lv. {{num}}	135
Earn {{num}} daily quest point(s)	100
Perform Hero Recruitment {{num}} time(s)	10
Challenge any level of monsters {{num}} time(s)	5
Power reaches {{num}}	18,000,000
Castle reaches Lv. {{num}}	145
Earn {{num}} daily quest point(s)	60
Upgrade Any Unit {{num}} time(s)	20
Challenge any level of monsters {{num}} time(s)	5
Power reaches {{num}}	20,000,000
Castle reaches Lv. {{num}}	150
Perform Hero Recruitment {{num}} time(s)	10
Challenge any level of monsters {{num}} time(s)	5
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	50
Power reaches {{num}}	25,000,000
Castle reaches Lv. {{num}}	155
Perform Hero Recruitment {{num}} time(s)	10
Upgrade any 2 Hero(es) to Lv. {{num}}	45
Promote any {{num}} Hero(es) to 1 Stars	3
Earn {{num}} daily quest point(s)	100
Castle reaches Lv. {{num}}	160
Perform Hero Recruitment {{num}} time(s)	10
Challenge any level of monsters {{num}} time(s)	5
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	60
Power reaches {{num}}	30,000,000
Castle reaches Lv. {{num}}	165
	
	
	
	
	
Upgrade Any Unit {{num}} time(s)	20
Challenge any level of monsters {{num}} time(s)	20
Independently perform Alliance Tech Donation {{num}} time(s) in total	10
Power reaches {{num}}	35,000,000
Castle reaches Lv. {{num}}	175
Upgrade Any Unit {{num}} time(s)	20
Challenge any level of monsters {{num}} time(s)	5
Merge unit {{num}} time(s)	50
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	80
Castle reaches Lv. {{num}}	180
Perform Hero Recruitment {{num}} time(s)	10
Upgrade any 1 Hero(es) to Lv. {{num}}	50
Promote any {{num}} Hero(es) to 1 Stars	4
Power reaches {{num}}	40,000,000
Castle reaches Lv. {{num}}	185
Upgrade Any Unit {{num}} time(s)	20
Challenge any level of monsters {{num}} time(s)	5
Make {{num}} purchase(s) in Alliance Store in total	10
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	100
Castle reaches Lv. {{num}}	190
Earn {{num}} daily quest point(s)	100
Perform Hero Recruitment {{num}} time(s)	10
Upgrade any 1 Hero(es) to Lv. {{num}}	60
Power reaches {{num}}	45,000,000
Castle reaches Lv. {{num}}	195
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
Earn {{num}} daily quest point(s)	100
Perform Hero Recruitment {{num}} time(s)	10
Upgrade any 1 Hero(es) to Lv. {{num}}	70
Power reaches {{num}}	55,000,000
Castle reaches Lv. {{num}}	215
Challenge any level of monsters {{num}} time(s)	5
Upgrade Any Unit {{num}} time(s)	20
Upgrade any 2 Hero(es) to Lv. {{num}}	70
Power reaches {{num}}	60,000,000
Castle reaches Lv. {{num}}	220
Challenge any level of monsters {{num}} time(s)	10
Perform Hero Recruitment {{num}} time(s)	10
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	160
Power reaches {{num}}	70,000,000
Castle reaches Lv. {{num}}	230
Challenge any level of monsters {{num}} time(s)	10
Upgrade any 1 Hero(es) to Lv. {{num}}	80
Upgrade 1 Dragon Emblem(s) to Lv. {{num}}	200
Power reaches {{num}}	80,000,000
Castle reaches Lv. {{num}}	240
