Number	Name	Piece		Shard	Power (collected)	Power (calculated)	Verified
1	Frost Cyclops	1/4		1	10,000	10,000	TRUE
1	Frost Cyclops	2/4		1	20,000	20,000	TRUE
1	Frost Cyclops	3/4		2	40,000	40,000	TRUE
1	Frost Cyclops	4/4		3	70,000	70,000	TRUE
2	Lava Behemoth	1/4		4	110,000	110,000	TRUE
2	Lava Behemoth	2/4		4	150,000	150,000	TRUE
2	Lava Behemoth	3/4		6	210,000	210,000	TRUE
2	Lava Behemoth	4/4		6	270,000	270,000	FALSE
3	Gold Goblin	1/4		7		340,000	FALSE
3	Gold Goblin	2/4		9	440,000	430,000	FALSE
3	Gold Goblin	3/4		10	540,000	530,000	TRUE
3	Gold Goblin	4/4		11	650,000	640,000	TRUE
4	Goblin Priest	1/4		13	780,000	770,000	TRUE
4	Goblin Priest	2/4		13	910,000	900,000	TRUE
4	Goblin Priest	3/4		15	1,060,000	1,050,000	TRUE
4	Goblin Priest	4/4		16	1,220,000	1,210,000	TRUE
5	Cyclops	1/4		17	1,390,000	1,380,000	TRUE
5	Cyclops	2/4		19	1,580,000	1,570,000	TRUE
5	Cyclops	3/4		20	1,780,000	1,770,000	TRUE
5	Cyclops	4/4		21	1,990,000	1,980,000	TRUE
6	My Castle	1/9		22	2,210,000	2,200,000	TRUE
6	My Castle	2/9		24	2,450,000	2,440,000	TRUE
6	My Castle	3/9		25	2,700,000	2,690,000	TRUE
6	My Castle	4/9		26	2,960,000	2,950,000	TRUE
6	My Castle	5/9		28	3,240,000	3,230,000	TRUE
6	My Castle	6/9		29	3,530,000	3,520,000	TRUE
6	My Castle	7/9		31	3,840,000	3,830,000	TRUE
6	My Castle	8/9		32	4,160,000	4,150,000	TRUE
6	My Castle	9/9		33	4,490,000	4,480,000	TRUE
7	Dimensional Tunnel	1/9		34	4,830,000	4,820,000	TRUE
7	Dimensional Tunnel	2/9		37	5,200,000	5,190,000	TRUE
7	Dimensional Tunnel	3/9		37	5,570,000	5,560,000	TRUE
7	Dimensional Tunnel	4/9		39	5,960,000	5,950,000	TRUE
7	Dimensional Tunnel	5/9		40	6,360,000	6,350,000	TRUE
7	Dimensional Tunnel	6/9		42	6,780,000	6,770,000	TRUE
7	Dimensional Tunnel	7/9		43	7,210,000	7,200,000	TRUE
7	Dimensional Tunnel	8/9		45	7,660,000	7,650,000	TRUE
7	Dimensional Tunnel	9/9		46	8,120,000	8,110,000	TRUE
