Castle Skin	G2	G3	G4	G5	G6
Default	TRUE	TRUE	TRUE	TRUE	TRUE
Elf Castle	TRUE	FALSE	FALSE	FALSE	FALSE
Lava Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Snowy Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Goblin Lab Castle	TRUE	FALSE	FALSE	FALSE	FALSE
Desert Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Christmas Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Castle in the Sky	TRUE	TRUE	TRUE	TRUE	TRUE
Summer Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Barbarian Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Knight Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Goblin Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Halloween Castle	TRUE	TRUE	TRUE	TRUE	FALSE
Sakura Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Valentine Castle	TRUE	TRUE	FALSE	FALSE	FALSE
Spring Festival Castle	TRUE	TRUE	FALSE	FALSE	FALSE
Easter Castle	TRUE	TRUE	FALSE	FALSE	FALSE
Dragon Soul Castle (VIP 17)	TRUE	TRUE	TRUE	TRUE	TRUE
Twin Castle - Bright Moon	TRUE	TRUE	FALSE	FALSE	FALSE
Exotic Castle	TRUE	TRUE	FALSE	FALSE	FALSE
Fragrance of Forest Castle	TRUE	TRUE	FALSE	FALSE	FALSE
Opulent Castle	TRUE	FALSE	FALSE	FALSE	FALSE
Themis Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Pumpkin Carriage Castle	TRUE	FALSE	FALSE	FALSE	FALSE
Guardian Castle (VIP 18)	TRUE	TRUE	TRUE	TRUE	TRUE
Fireplace Castle	TRUE	FALSE	FALSE	FALSE	FALSE
Christmas Snow Globe Castle	TRUE	FALSE	FALSE	FALSE	FALSE
Good Fortune Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Blue Enchantress Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Glass Garden House Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Rabbit Knight Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Pipe Organ Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Bunny Tribe Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Cream Cake Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Intrepid Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Floating Dragon Nest Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Karnak Temple Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Vampire Castle (VIP 19)	TRUE	TRUE	TRUE	TRUE	TRUE
Yurt Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Forest Spiriit Outpost	TRUE	TRUE	TRUE	TRUE	TRUE
Hunter Post Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Robot Rabbit Assistant	TRUE	TRUE	TRUE	TRUE	TRUE
Spring Festival Soiree Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Winter Palace Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Ocean Ripple Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Starry Magic Castle	TRUE	TRUE	TRUE	TRUE	TRUE
Desert Sand City Castle	TRUE	TRUE	TRUE	TRUE	TRUE
